experiment_id,dataset,ground_truth_file,n_gt,n_ext,fuzzy_threshold,n_resamples,seed,bootstrap_unit,recovery,recovery_ci_lo,recovery_ci_hi,judge_combine_id,judge_ids,validity,validity_ci_lo,validity_ci_hi,analysis_config_id
2026-09-21-pond-extraction-gemma27b-full-01,pond,data/pond/ground_truth_review.json,3333,11022,0.25,2000,342,paper,0.3576357635763576,0.29327428609132805,0.4246507700461654,,,,,,2026-09-23-pond-full-pipeline-vs-baselines-recovery-01
2026-09-23-pond-extraction-gemma27b-full-01,pond,data/pond/ground_truth_review.json,3333,12080,0.25,2000,342,paper,0.5361536153615362,0.4539277433170569,0.6169849596168825,,,,,,2026-09-23-pond-full-pipeline-vs-baselines-recovery-01
2026-09-22-pond-extraction-gemma27b-parseqty-standardization-valueonly-01,pond,data/pond/ground_truth_review.json,3333,11018,0.25,2000,342,paper,0.6141614161416141,0.5291524407520293,0.698833378928903,,,,,,2026-09-23-pond-full-pipeline-vs-baselines-recovery-01
2026-09-21-pond-extraction-gptoss120b-full-01,pond,data/pond/ground_truth_review.json,3333,4861,0.25,2000,342,paper,0.6765676567656765,0.5923694088564931,0.7564335841606317,,,,,,2026-09-23-pond-full-pipeline-vs-baselines-recovery-01
2026-09-21-pond-extraction-llama8b-full-01,pond,data/pond/ground_truth_review.json,3333,10570,0.25,2000,342,paper,0.07230723072307231,0.04942445695467984,0.09513112127596508,,,,,,2026-09-23-pond-full-pipeline-vs-baselines-recovery-01
2026-09-21-pond-ablation1-gemma27b-full-01,pond,data/pond/ground_truth_review.json,3333,2123,0.25,2000,342,paper,0.08430843084308431,0.06169692179024338,0.11359301039473997,,,,,,2026-09-23-pond-full-pipeline-vs-baselines-recovery-01
2026-09-21-pond-ablation1-gptoss120b-full-01,pond,data/pond/ground_truth_review.json,3333,4314,0.25,2000,342,paper,0.6729672967296729,0.5906486915263486,0.7552083355696183,,,,,,2026-09-23-pond-full-pipeline-vs-baselines-recovery-01
2026-09-22-pond-langextract-gemma27b-full-01,pond,data/pond/ground_truth_review.json,3333,86,0.25,2000,342,paper,0.00030003000300030005,0.0,0.001010177765496914,,,,,,2026-09-23-pond-full-pipeline-vs-baselines-recovery-01
2026-09-22-pond-gliner-large-full-01,pond,data/pond/ground_truth_review.json,3333,20382,0.25,2000,342,paper,0.007800780078007801,0.0021848970764256287,0.014538518345996034,,,,,,2026-09-23-pond-full-pipeline-vs-baselines-recovery-01
2026-09-22-pond-nuextract3-full-01,pond,data/pond/ground_truth_review.json,3333,1506,0.25,2000,342,paper,0.12871287128712872,0.06835015857644142,0.200308547008547,,,,,,2026-09-23-pond-full-pipeline-vs-baselines-recovery-01
