document_id,name,identifiers,location,site_type,date,nfix_method,substrate_type,sample_depth,additional_details,attribute,value,units
R231,south west coast of Australia,,"(-28.0, 114.0)",continental shelves,2003-10,15N2,wc,0.0,,nfix_rate,0.017,nmol-n l-1 h-1
R231,south west coast of Australia,,"(-28.0, 114.0)",continental shelves,2003-10,15N2,wc,,,nfix_rate,0.003,nmol-n l-1 h-1
R231,south west coast of Australia,,"(-28.0, 114.0)",continental shelves,2003-10,15N2,wc,0.0,,nfix_rate,0.007,nmol-n l-1 h-1
R231,south west coast of Australia,,"(-28.0, 114.0)",continental shelves,2003-10,15N2,wc,,,nfix_rate,0.001,nmol-n l-1 h-1
R147,Arafura and Timor Sea,,"(-10.44, 122.16)",continental shelves,2012-10,15N2,wc,22.5,,nfix_rate,23.0,nmol-n l-1 d-1
R147,Coral Sea,,"(-9.23, 139.96)",continental shelves,2013-07,15N2,wc,60.5,,nfix_rate,6.0,nmol-n l-1 d-1
R21,upwelling affected (G17),,"(30.9, -10.8)",continental shelves,2009-08,15N2,wc,,,nfix_rate,5e-06,umol-n2 l-1 h-1
R135,Mesohaline 1 st. 3,,"(7.29131986, -52.9813819)",continental shelves,2010-05,15N2,wc,,,nfix_rate,13.0,umol-n m-2 d-1
R135,Mesohaline 1 st. 9,,"(5.95957194, -50.790271)",continental shelves,2010-05,15N2,wc,,,nfix_rate,99.0,umol-n m-2 d-1
R135,Mesohaline 1 st. 23,,"(11.1533888, -54.4385935)",continental shelves,2010-05,15N2,wc,,,nfix_rate,187.0,umol-n m-2 d-1
R135,Mesohaline 2 st. 2,,"(10.2877527, -54.5392884)",continental shelves,2010-05,15N2,wc,,,nfix_rate,121.0,umol-n m-2 d-1
R135,Mesohaline 2 st. 19,,"(8.2901308, -50.7542832)",continental shelves,2010-05,15N2,wc,,,nfix_rate,95.0,umol-n m-2 d-1
R135,Mesohaline 2 st. 25,,"(12.4185493, -56.3640027)",continental shelves,2010-05,15N2,wc,,,nfix_rate,253.0,umol-n m-2 d-1
R155,YPC,,"(5.0, -52.0)",continental shelves,2010-05,15N2,wc,,,nfix_rate,17.2,umol-n m-2 d-1
R155,OPC,,"(7.0, -53.0)",continental shelves,2010-05,15N2,wc,,,nfix_rate,75.9,umol-n m-2 d-1
R155,WPM,,"(10.0, -55.0)",continental shelves,2010-05,15N2,wc,,,nfix_rate,118.3,umol-n m-2 d-1
R155,EPM,,"(11.0, -51.0)",continental shelves,2010-05,15N2,wc,,,nfix_rate,97.3,umol-n m-2 d-1
R155,OSW,,"(6.0, -47.5)",continental shelves,2010-05,15N2,wc,,,nfix_rate,104.7,umol-n m-2 d-1
R218,Arctic Shelf 1,,"(72.0, -160.0)",continental shelves,2015-09-06,15N2,wc,,,nfix_rate,5.41,umol-n m-2 d-1
R218,Arctic Shelf 6,,"(72.0, -160.0)",continental shelves,2015-09-06,15N2,wc,,,nfix_rate,50.8,umol-n m-2 d-1
