PUBLICATION_DATE,UID,CLASS_FIELD_FWSST,DATE_COL,ECO_X_ST,NWCA_ECO4,SITE_ID,SITE_USE,STATE,VISIT_NO,AA_AREA,AA_CENTER,AA_LAT,AA_LAYOUT,AA_LON,AA_POINT,CLASS_1,CLASS_2,CLASS_3,DEPRESSION,DISTANCE_VAR,FLATS,FWS_ST,HGM_CLASS,LACUSTRINE,PHOTO,RIVERINE,SATELLITES_NUM,SLOPE,SYSTEM_1,SYSTEM_2,SYSTEM_3,TIDAL
7/28/2016,2610,PEM,3-May-11,CPL-PH,CPL,NWCA11-1240,NWCA_PROBABILITY,FL,1,0.5,POINT_NOT_AACENTER,30.15119,STANDARD_CIRCULAR_SHIFTED,85.04415,NO,,,,,5,FLATS_MNERL,PEM,FLATS,,Y,,6,,,,,
7/28/2016,2611,E2EM,18-Apr-11,E2EM,CPL,NWCA11-2426,NWCA_PROBABILITY,SC,1,0.5,POINT_AACENTER,,STANDARD_CIRCULAR,,YES,,,,,5,,E2EM,TIDAL,,Y,,,,,,,NATURAL
7/28/2016,2668,E2EM,12-May-11,E2EM,CPL,NWCA11-1266,NWCA_PROBABILITY,FL,1,,POINT_AACENTER,,STANDARD_CIRCULAR,,YES,,,,,,,E2EM,TIDAL,,Y,,,,,,,HUMAN_ALTERED
7/28/2016,2669,PFO,29-Apr-11,CPL-PW,CPL,NWCA11-1304,NWCA_PROBABILITY,FL,1,0.5,POINT_NOT_AACENTER,29.66114,STANDARD_CIRCULAR_SHIFTED,81.7658,YES,,,,,5,FLATS_MNERL,PFO,FLATS,,Y,,7,,,,,
7/28/2016,2672,PEM,13-May-11,CPL-PH,CPL,NWCA11-1299,NWCA_PROBABILITY,FL,1,0.5,POINT_NOT_AACENTER,28.2749,STANDARD_CIRCULAR_SHIFTED,80.726257,NO,,,,OPEN_HUMAN_IMPOUND,,,PEM,DPRSS,,Y,,,,,,,
7/28/2016,2750,E2EM,13-Apr-11,E2EM,CPL,NWCA11-2418,NWCA_PROBABILITY,SC,1,0.5,POINT_NOT_AACENTER,32.39981,STANDARD_CIRCULAR_SHIFTED,80.65882,YES,,,,,10,,E2EM,TIDAL,,Y,,,,,,,NATURAL
7/28/2016,2752,PFO,11-May-11,CPL-PW,CPL,NWCA11-2432,NWCA_PROBABILITY,SC,1,0.5,POINT_AACENTER,,STANDARD_CIRCULAR,,YES,,,,CLOSED,11,,PFO,DPRSS,,Y,,,,,,,
7/28/2016,2769,E2EM,16-May-11,E2EM,CPL,NWCA11-2407,NWCA_PROBABILITY,SC,1,0.5,POINT_NOT_AACENTER,32.62069,STANDARD_CIRCULAR_SHIFTED,80.22092,YES,,,,,2,,E2EM,TIDAL,,Y,,,,,,,NATURAL
7/28/2016,2776,PSS,24-May-11,CPL-PW,CPL,NWCA11-1006,NWCA_PROBABILITY,AL,1,0.5,POINT_AACENTER,,STANDARD_CIRCULAR,,YES,,,,,,FLATS_MNERL,PSS,FLATS,,Y,,,,,,,
7/28/2016,2791,E2EM,9-May-11,E2EM,CPL,NWCA11-2434,NWCA_PROBABILITY,SC,1,0.5,POINT_NOT_AACENTER,32.39326,STANDARD_CIRCULAR_SHIFTED,80.66386,YES,,,,,3,FLATS_MNERL,E2EM,FLATS,,Y,,,,,,,
7/28/2016,2792,E2EM,18-May-11,E2EM,CPL,NWCA11-2435,NWCA_PROBABILITY,SC,1,0.5,POINT_AACENTER,,STANDARD_CIRCULAR,,YES,,,,,3,,E2EM,TIDAL,,Y,,,,,,,NATURAL
7/28/2016,2811,E2EM,8-Jun-11,E2EM,CPL,NWCA11-R067,NWCA_NOT_PROBABILITY,FL,1,,POINT_AACENTER,,STANDARD_CIRCULAR,,YES,,,,,3,,E2EM,TIDAL,,Y,,10,,,,,NATURAL
7/28/2016,2812,E2EM,26-May-11,E2EM,CPL,NWCA11-1002,NWCA_PROBABILITY,AL,1,0.5,POINT_AACENTER,,STANDARD_CIRCULAR,,YES,,,,,,,E2EM,TIDAL,,Y,,,,,,,NATURAL
7/28/2016,3239,PFO,4-May-11,CPL-PW,CPL,NWCA11-1014,NWCA_PROBABILITY,AL,1,0.5,POINT_AACENTER,,STANDARD_CIRCULAR,,YES,,,,,,,PFO,RIVERINE,,Y,UPPER_PERENNIAL,,,,,,
