COLUMN_NAME	SAMPLE_TYPE	UNITS	LABEL	FORMABBR	VAR_TYPE	RANGE_HIGH	RANGE_LOW	LEGAL_VALUES	METRIC_TYPE
D_AC	PLANT	NA	"Simpson Diversity Index - alien + cryptogenic species. D = 1 - sum(pi^2), where pi is proportion of species i"			NA	0		Stressor
D_ALIEN	PLANT	NA	"Simpson Diversity Index - alien species only. D = 1 - sum(pi^2), where pi is proportion of species i"			NA	0		Stressor
D_ALL	PLANT	NA	"Simpson Diversity Index - All species. D = 1 - sum(pi^2), where pi is proportion of species i"			NA	0		Condition
D_NAT	PLANT	NA	"Simpson Diversity Index - native species only. D = 1 - sum(pi^2), where pi is proportion of species i"			NA	0		Condition
D_SANDT	VEGTYPE	NA	"Simpson's Diversity - Heterogeneity of  S&T Types in AA. D = 1-sum(pi^2), where pi is proportion of plots sampled of class i."			NA	0		Condition
D_VASC_STRATA	VEGTYPE	NA	"Simpson's Diversity - Heterogeneity of  Vertical Vascular Structure in AA based on occurrence and relative cover of all strata in all plots. D = 1-sum(pi^2), where pi is relative cover of vegetation stratum i"			NA	0		Condition
DOM_SANDT	VEGTYPE	NA	Dominant  S&T Type(s) in AA			NA	NA	E2EM|E2SS|PEM|PSS|PFO|PUBPAB|PF	Condition
FQAI_ALL	PLANT	NA	"Floristic Quality Index with all species. Sum(CC)/sqrt(N) where CC is coefficient of conservatism, N is number of species"			NA	0		Condition
FQAI_COV_ALL	PLANT	NA	"Proportional cover-weighted Floristic Quality Index with all species. Sum(pijCCij)/sqrt(N) where CCij is coefficient of conservatism for species i at site j, pij is weight for CC for species i at site j, N is number of species."			NA	0		Condition
FQAI_COV_NAT	PLANT	NA	"Proportional cover-weighted Floristic Quality Index with native species only. Sum(pijCCij)/sqrt(N) where CCij is coefficient of conservatism for species i at site j, pij is weight for CC for species i at site j, N is number of species."			NA	0		Condition
FQAI_FREQ_ALL	PLANT	NA	"Proportional frequency-weighted Floristic Quality Index with all species only. Sum(pijCCij)/sqrt(N) where CCij is coefficient of conservatism for species i at site j, pij is weight for CC for species i at site j, N is number of species."			NA	0		Condition
