document_id,name,identifiers,location,ecosystem,date,additional_details,attribute,value,units,page_number,page_score,page_confidence
agricultural_freshwater,,,central maryland; usa,ponds,,,max_depth,3.35,m,"[2, 3, 4]",0.851,ambiguous
aquatic_insect_assemblages,p1,,,pond,,,max_depth,1.0,m,"[4, 5, 7]",0.849,ambiguous
aquatic_insect_assemblages,p2,,,pond,,,max_depth,1.0,m,"[4, 5, 7]",0.849,ambiguous
aquatic_insect_assemblages,p3,,,pond,,,max_depth,5.0,m,"[4, 7]",0.849,ambiguous
aquatic_insect_assemblages,p4,,,pond,,,max_depth,1.0,m,"[4, 5, 7]",0.849,ambiguous
assessment_of_methane,grosse fuchskuhle,,mecklenburg-brandenburg lake district,small acidic bog lake,,,max_depth,5.6,m,[4],0.8971,high
assessment_of_methane,grosse fuchskuhle ne,,mecklenburg-brandenburg lake district,small acidic bog lake,,,max_depth,4.5,m,[4],0.8802,high
assessment_of_methane,grosse fuchskuhle sw,,mecklenburg-brandenburg lake district,small acidic bog lake,,,max_depth,4.2,m,[4],0.8905,high
biogeochemistry_of_natural,rittgarten,,uckermark; northeastern germany,kettle hole,,,max_depth,2.3,m,[12],0.9063,high
carbon_dioxide_efflux,bassa verda,,island of menorca; balearic islands in western mediterranean,temporary pond,,,max_depth,140.0,cm,[3],0.8772,high
carbon_dioxide_efflux,bassa verda des compte,,island of menorca; balearic islands in western mediterranean,temporary pond,,,max_depth,91.0,cm,[3],0.8865,high
carbon_dioxide_efflux,binigafull,,island of menorca; balearic islands in western mediterranean,temporary pond,,,max_depth,48.0,cm,[3],0.8753,high
carbon_dioxide_efflux,cap negre,,island of menorca; balearic islands in western mediterranean,temporary pond,,,max_depth,49.0,cm,[3],0.8503,high
carbon_dioxide_efflux,curniola,,island of menorca; balearic islands in western mediterranean,temporary pond,,,max_depth,150.0,cm,[3],0.8702,high
carbon_dioxide_efflux,ets armaris,,island of menorca; balearic islands in western mediterranean,temporary pond,,,max_depth,57.99999999999999,cm,[3],0.8772,high
carbon_dioxide_efflux,mal lloc,,island of menorca; balearic islands in western mediterranean,temporary pond,,,max_depth,155.0,cm,[3],0.8702,high
carbon_dioxide_efflux,marina curniola,,island of menorca; balearic islands in western mediterranean,temporary pond,,,max_depth,55.00000000000001,cm,[3],0.8685,high
carbon_dioxide_efflux,pallisses,,island of menorca; balearic islands in western mediterranean,temporary pond,,,max_depth,36.0,cm,[3],0.8731,high
carbon_dioxide_efflux,sa mesquida,,island of menorca; balearic islands in western mediterranean,temporary pond,,,max_depth,103.0,cm,[3],0.8586,high
carbon_dioxide_efflux,son morell,,island of menorca; balearic islands in western mediterranean,temporary pond,,,max_depth,20.0,cm,[3],0.8548,high
carbon_dioxide_efflux,torrellafuda,,island of menorca; balearic islands in western mediterranean,temporary pond,,,max_depth,165.0,cm,[3],0.8788,high
carbon_pools_and_fluxes,valkea-kotinen,,boreal zone; finland,lake,,,max_depth,6.0,m,"[3, 5, 8]",0.9237,ambiguous
classification_trees,3fnt,,belgium,pond,,,max_depth,0.4,m,[4],0.8584,high
