document_id,gt_row_index,name,attribute,value,units,page_number,page_confidence,corrected_page
agricultural_freshwater,0,,max_depth,3.35,m,"2, 3, 4",ambiguous,
vegetation-environmental,1447,batizovce2,surface_area,32548.0,m^2,"2, 4",ambiguous,
vegetation-environmental,1453,liptovsk hrdok,surface_area,3599.0,m^2,"2, 4, 8",ambiguous,
vegetation-environmental,1454,lubica,surface_area,1221.0,m^2,"3, 4, 6",ambiguous,
vegetation-environmental,1459,okolicn,surface_area,16714.0,m^2,"2, 4",ambiguous,
vegetation-environmental,1462,stredn mlyn,surface_area,21799.0,m^2,"2, 4",ambiguous,
vegetation-environmental,1464,trbsk pleso,surface_area,189959.0,m^2,"2, 4, 5",ambiguous,
vegetation-environmental,1466,vyn rakytovsk pleso,surface_area,1876.0,m^2,"2, 4",ambiguous,
vegetation-environmental,1467,zverovka,surface_area,2315.0,m^2,"1, 2, 3, 4, 8",ambiguous,
water_circulation,1471,no.12,surface_area,3724.0,m^2,"2, 3, 4, 7, 11",ambiguous,
water_circulation,1472,no.13,surface_area,6177.0,m^2,"2, 3, 4, 6, 7, 9, 11",ambiguous,
water_circulation,1473,no.14,surface_area,2559.0,m^2,"2, 3, 4, 7, 9, 11",ambiguous,
water_circulation,1474,no.2,surface_area,4152.0,m^2,"1, 2, 4, 7",ambiguous,
water_circulation,1476,no.4,surface_area,1007.0,m^2,"6, 7",ambiguous,
water_circulation,1477,no.5,surface_area,1269.0,m^2,"6, 7",ambiguous,
biodiversity_of_constructed,1502,dn1,vegetation_cover,5.0,percent,"3, 4, 5, 6, 8",ambiguous,
biodiversity_of_constructed,1503,dn2,vegetation_cover,20.0,percent,"4, 5, 6, 8, 12",ambiguous,
biodiversity_of_constructed,1504,dn3-a,vegetation_cover,50.0,percent,"4, 5, 7, 8, 11, 12",ambiguous,
greenhouse_gas_emission,1545,lake jacques,vegetation_cover,50.0,percent,"2, 6",ambiguous,
gas_transfer,1544,rh,vegetation_cover,20.0,percent,"3, 9",ambiguous,
factors_influencing_macroinvertebrate,1539,7,vegetation_cover,4.5,percent,"5, 6",ambiguous,
concordance_of_species,1516,samambaia lake,vegetation_cover,10.0,percent,"5, 6, 7",ambiguous,
biodiversity_of_constructed,1514,hs2-5,vegetation_cover,30.0,percent,"4, 5, 6, 12",ambiguous,
biodiversity_of_constructed,1513,hs2-4,vegetation_cover,60.0,percent,"1, 4, 5, 6, 12, 13",ambiguous,
vegetation-environmental,1445,akovce2,surface_area,193820.0,m^2,"2, 4",ambiguous,
biodiversity_of_constructed,1512,hs2-3,vegetation_cover,35.0,percent,"4, 5, 6, 12",ambiguous,
biodiversity_of_constructed,1510,hs2-1,vegetation_cover,20.0,percent,"4, 5, 6, 12",ambiguous,
biodiversity_of_constructed,1509,dn5,vegetation_cover,20.0,percent,"4, 5, 6, 8, 12",ambiguous,
biodiversity_of_constructed,1508,dn4,vegetation_cover,25.0,percent,"4, 6, 12",ambiguous,
biodiversity_of_constructed,1507,dn3-d,vegetation_cover,40.0,percent,"4, 12, 13",ambiguous,
biodiversity_of_constructed,1506,dn3-c,vegetation_cover,20.0,percent,"4, 5, 6, 8, 12",ambiguous,
biodiversity_of_constructed,1505,dn3-b,vegetation_cover,40.0,percent,"4, 6, 12",ambiguous,
biodiversity_of_constructed,1511,hs2-2,vegetation_cover,65.0,percent,"4, 6, 12",ambiguous,
habitat_characteristics,1546,aqg,vegetation_cover,0.0,percent,"6, 7",ambiguous,
vegetation-environmental,1444,akovce2,surface_area,70331.0,m^2,"2, 4",ambiguous,
variations_in_sediment,1442,h8,surface_area,1.0,m^2,"2, 3, 4, 6, 7",ambiguous,
the_legacy_of_large,1395,mavis west,surface_area,14.0,ha,"4, 9",ambiguous,
the_legacy_of_large,1396,morrison,surface_area,15.0,ha,"4, 9",ambiguous,
the_legacy_of_large,1398,pisa,surface_area,9.0,ha,"4, 9",ambiguous,
the_legacy_of_large,1399,skunk,surface_area,11.0,ha,"4, 9",ambiguous,
turbulence_and_stratification,1415,priest pot,surface_area,1.0,ha,"1, 2, 3, 4, 5, 7, 8",ambiguous,
value_of_artificial,1416,1st meerlust pond,surface_area,20500.0,m^2,"2, 3, 4, 11",ambiguous,
value_of_artificial,1417,1st nietvoorbij pond,surface_area,6490.0,m^2,"3, 7, 11, 14",ambiguous,
value_of_artificial,1418,1st protea hotel pond,surface_area,3878.0,m^2,"7, 10, 11",ambiguous,
value_of_artificial,1419,1st vergelegen pond,surface_area,48000.0,m^2,"2, 3, 4",ambiguous,
value_of_artificial,1420,2nd meerlust pond,surface_area,4200.0,m^2,"7, 11",ambiguous,
value_of_artificial,1421,2nd nietvoorbij pond,surface_area,58338.0,m^2,"2, 3, 4, 11",ambiguous,
value_of_artificial,1422,2nd protea hotel pond,surface_area,6495.0,m^2,"3, 7, 11, 14",ambiguous,
value_of_artificial,1423,2nd vergelegen pond,surface_area,50000.0,m^2,"3, 4",ambiguous,
value_of_artificial,1424,3rd vergelegen pond,surface_area,1896.0,m^2,"2, 3, 4",ambiguous,
value_of_artificial,1425,4th vergelegen pond,surface_area,1132.0,m^2,"4, 6, 8, 11",ambiguous,
value_of_artificial,1426,fleurbaix pond,surface_area,20537.0,m^2,"1, 2, 3, 4, 7, 11",ambiguous,
value_of_artificial,1427,golf course pond,surface_area,20300.0,m^2,"2, 3, 4, 7, 11",ambiguous,
variations_in_sediment,1441,h7,surface_area,1.0,m^2,"2, 3, 4, 6, 7",ambiguous,
variations_in_sediment,1440,h6,surface_area,1.0,m^2,"2, 3, 4, 6, 7",ambiguous,
variations_in_sediment,1439,h5,surface_area,1.0,m^2,"2, 3, 4, 6, 7",ambiguous,
variations_in_sediment,1438,h4,surface_area,1.0,m^2,"2, 3, 4, 6, 7",ambiguous,
variations_in_sediment,1437,h3,surface_area,1.0,m^2,"2, 3, 4, 6, 7",ambiguous,
variations_in_sediment,1436,h2,surface_area,1.0,m^2,"2, 3, 4, 6, 7",ambiguous,
variations_in_sediment,1443,h9,surface_area,1.0,m^2,"2, 3, 4, 6, 7",ambiguous,
variations_in_sediment,1435,h10,surface_area,1.0,m^2,"2, 3, 4, 6, 7",ambiguous,
value_of_artificial,1433,somerset west pond,surface_area,9705.0,m^2,"2, 3, 4, 7, 9, 10, 11",ambiguous,
value_of_artificial,1432,somerset mall pond,surface_area,1601.0,m^2,"2, 7, 11",ambiguous,
value_of_artificial,1431,middelvlei pond open farm pond,surface_area,6400.0,m^2,"4, 7, 11, 14",ambiguous,
value_of_artificial,1430,meerlust farm pond,surface_area,6480.0,m^2,"3, 4, 7, 10, 11, 14",ambiguous,
value_of_artificial,1429,libertas pond,surface_area,27520.0,m^2,"2, 3, 4, 7, 11",ambiguous,
value_of_artificial,1428,kleinplaas dam,surface_area,47125.0,m^2,"3, 4",ambiguous,
variations_in_sediment,1434,h1,surface_area,1.0,m^2,"2, 3, 4, 6, 7",ambiguous,
the_legacy_of_large,1394,leverson,surface_area,8.0,ha,"4, 9",ambiguous,
habitat_characteristics,1548,bag,vegetation_cover,0.0,percent,"6, 7",ambiguous,
habitat_characteristics,1553,cap,vegetation_cover,0.0,percent,"6, 7",ambiguous,
relationships_between_fish,1655,green plantation,vegetation_cover,33.25,percent,"5, 6, 7, 13, 14, 15",ambiguous,
relationships_between_fish,1656,gunthorpe,vegetation_cover,18.45,percent,"3, 7, 10, 11, 12, 13, 14",ambiguous,
relationships_between_fish,1659,holkham 2,vegetation_cover,3.5,percent,"4, 5, 6, 7, 10, 12, 13, 14",ambiguous,
relationships_between_fish,1662,melton constable,vegetation_cover,13.65,percent,"2, 3, 6, 7, 14, 15",ambiguous,
relationships_between_fish,1666,scottow,vegetation_cover,45.75,percent,"7, 12, 13, 14, 15",ambiguous,
relationships_between_fish,1667,selbrigg,vegetation_cover,30.55,percent,"4, 7, 12, 13, 14",ambiguous,
relationships_between_fish,1668,stradsett,vegetation_cover,34.6,percent,"6, 7, 12, 13, 14, 15",ambiguous,
relationships_between_fish,1669,strumpshaw,vegetation_cover,34.05,percent,"13, 14, 15",ambiguous,
relationships_between_fish,1670,upton,vegetation_cover,29.7,percent,"1, 2, 4, 5, 6, 7, 13, 14, 15",ambiguous,
seasonal_succession_of_epipelic,1671,bezednk pond,vegetation_cover,100.0,percent,"1, 4, 12",ambiguous,
submerged_macrophytes_as_refuges,1672,hoveton little broad,vegetation_cover,0.0,percent,"1, 2, 3, 4, 7, 8, 10",ambiguous,
the_diversity_of_macroinvertebrate,1674,a,vegetation_cover,100.0,percent,"4, 5, 8, 17",ambiguous,
the_diversity_of_macroinvertebrate,1675,b,vegetation_cover,100.0,percent,"4, 5, 8, 17",ambiguous,
the_diversity_of_macroinvertebrate,1676,c,vegetation_cover,100.0,percent,"4, 5, 8, 17",ambiguous,
the_diversity_of_macroinvertebrate,1677,d,vegetation_cover,100.0,percent,"4, 5, 8, 17",ambiguous,
the_diversity_of_macroinvertebrate,1678,e,vegetation_cover,100.0,percent,"4, 5, 8, 17",ambiguous,
the_diversity_of_macroinvertebrate,1679,g,vegetation_cover,70.3,percent,"9, 15, 17",ambiguous,
