author,year,title,journal,citation,author_term,location,pondname,humanbuilt_manipulated,ponduse,landuse,managed,surfacewaterconnectivity,hydroperiod,min_depth_m,max_depth_m,mean_depth_m,min_surfacearea_m2,max_surfacearea_m2,mean_surfacearea_m2,fishpresence,macrophytespresence,macrophytes_percentcover,ph,turbidity_secchi_m,tss_mgpl,doc_mgpl,chla_ugpl,tp_ugpl,tn_ugpl,cond_uspcm
kuczynska-kippen; n.; basinska; a. m.; swidnicki; k.,2013,specificity of zooplankton distribution in meteorite crater ponds (morasko; poland),knowledge and management of aquatic ecosystems,Kuczynska-Kippen N; Basinska A;  Swidnicki K. 2013. Specificity of zooplankton distribution in meteorite crater ponds (Morasko Poland). Knowledge and Management of Aquatic Ecosystems; 409(8).,meteorite crater ponds,western poland,meteor1,n,NA,forested,NA,isolated,perennial,NA,1,NA,NA,1100,NA,n,NA,NA,6.73,NA,NA,NA,28.827,1383.3,NA,173
kuczynska-kippen; n.; basinska; a. m.; swidnicki; k.,2013,specificity of zooplankton distribution in meteorite crater ponds (morasko; poland),knowledge and management of aquatic ecosystems,Kuczynska-Kippen N; Basinska A;  Swidnicki K. 2013. Specificity of zooplankton distribution in meteorite crater ponds (Morasko Poland). Knowledge and Management of Aquatic Ecosystems; 409(8).,meteorite crater ponds,western poland,meteor2,n,NA,forested,NA,isolated,perennial,NA,1,NA,NA,517,NA,n,NA,NA,6.95,NA,NA,NA,15.64,1223.3,NA,761
kuczynska-kippen; n.; basinska; a. m.; swidnicki; k.,2013,specificity of zooplankton distribution in meteorite crater ponds (morasko; poland),knowledge and management of aquatic ecosystems,Kuczynska-Kippen N; Basinska A;  Swidnicki K. 2013. Specificity of zooplankton distribution in meteorite crater ponds (Morasko Poland). Knowledge and Management of Aquatic Ecosystems; 409(8).,meteorite crater ponds,western poland,meteor3,n,NA,forested,NA,isolated,intermittent,NA,0.3,NA,NA,197,NA,n,NA,NA,6.755,NA,NA,NA,8.15,695,NA,338
kuczynska-kippen; n.; basinska; a. m.; swidnicki; k.,2013,specificity of zooplankton distribution in meteorite crater ponds (morasko; poland),knowledge and management of aquatic ecosystems,Kuczynska-Kippen N; Basinska A;  Swidnicki K. 2013. Specificity of zooplankton distribution in meteorite crater ponds (Morasko Poland). Knowledge and Management of Aquatic Ecosystems; 409(8).,meteorite crater ponds,western poland,meteor4,n,NA,forested,NA,isolated,intermittent,NA,0.7,NA,NA,135,NA,n,NA,NA,6.555,NA,NA,NA,29.94,1130,NA,445
hanrahan,2008,multivariate chemometrical classification and assessment of lake tuendae: a mojave desert aquatic environment housing the endangered mojave tui chub,ecological informatics,Hanrahan Grady; Siraj Gibani; Kent Miller. 2008. Multivariate chemometrical classification and assessment of Lake Tuendae: A Mojave desert aquatic environment housing the endangered Mojave Tui Chub. Ecological Informatics; 3(4-5): 334-342.,aquatic environment,mojave desert; california; united states,lake tuendae,y,fisheries,other,y,isolated,perennial,0.94,1.7,NA,NA,NA,18373.344,y,NA,NA,9.4,NA,NA,NA,NA,90,980,45.7
staehr,2012,lake metabolism scales with lake morphometry and catchment conditions,aquatic science,Staehr P.A.; Baastrup-Spohr L.; Sand-Jensen K. et al. 2012. Lake metabolism scales with lake morphometry and catchment conditions. Aquatic Science; 74: 155-169. ,lakes,denmark,agerso,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,37000,NA,NA,NA,NA,NA,NA,NA,7.7,24.5,NA,NA
staehr,2012,lake metabolism scales with lake morphometry and catchment conditions,aquatic science,Staehr P.A.; Baastrup-Spohr L.; Sand-Jensen K. et al. 2012. Lake metabolism scales with lake morphometry and catchment conditions. Aquatic Science; 74: 155-169. ,lakes,denmark,agertoften,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,6000,NA,NA,NA,NA,NA,NA,22.29,23.9,80.5,NA,NA
staehr,2012,lake metabolism scales with lake morphometry and catchment conditions,aquatic science,Staehr P.A.; Baastrup-Spohr L.; Sand-Jensen K. et al. 2012. Lake metabolism scales with lake morphometry and catchment conditions. Aquatic Science; 74: 155-169. ,lakes,denmark,badstuedam,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,28000,NA,NA,NA,NA,NA,NA,16.28,7.6,33.8,NA,NA
staehr,2012,lake metabolism scales with lake morphometry and catchment conditions,aquatic science,Staehr P.A.; Baastrup-Spohr L.; Sand-Jensen K. et al. 2012. Lake metabolism scales with lake morphometry and catchment conditions. Aquatic Science; 74: 155-169. ,lakes,denmark,bollemose,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,5000,NA,NA,NA,NA,NA,NA,19.51,28.4,101.1,NA,NA
staehr,2012,lake metabolism scales with lake morphometry and catchment conditions,aquatic science,Staehr P.A.; Baastrup-Spohr L.; Sand-Jensen K. et al. 2012. Lake metabolism scales with lake morphometry and catchment conditions. Aquatic Science; 74: 155-169. ,lakes,denmark,favrholm,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,10000,NA,NA,NA,NA,NA,NA,5.26,27.6,54.4,NA,NA
staehr,2012,lake metabolism scales with lake morphometry and catchment conditions,aquatic science,Staehr P.A.; Baastrup-Spohr L.; Sand-Jensen K. et al. 2012. Lake metabolism scales with lake morphometry and catchment conditions. Aquatic Science; 74: 155-169. ,lakes,denmark,fugl so,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,NA,49500,NA,NA,NA,NA,NA,NA,10.7,8.6,56.1,NA,NA
staehr,2012,lake metabolism scales with lake morphometry and catchment conditions,aquatic science,Staehr P.A.; Baastrup-Spohr L.; Sand-Jensen K. et al. 2012. Lake metabolism scales with lake morphometry and catchment conditions. Aquatic Science; 74: 155-169. ,lakes,denmark,funkedam,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,16000,NA,NA,NA,NA,NA,NA,6.97,6.1,28,NA,NA
staehr,2012,lake metabolism scales with lake morphometry and catchment conditions,aquatic science,Staehr P.A.; Baastrup-Spohr L.; Sand-Jensen K. et al. 2012. Lake metabolism scales with lake morphometry and catchment conditions. Aquatic Science; 74: 155-169. ,lakes,denmark,fonstrupdam,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,NA,11000,NA,NA,NA,NA,NA,NA,7.67,8.3,47.8,NA,NA
staehr,2012,lake metabolism scales with lake morphometry and catchment conditions,aquatic science,Staehr P.A.; Baastrup-Spohr L.; Sand-Jensen K. et al. 2012. Lake metabolism scales with lake morphometry and catchment conditions. Aquatic Science; 74: 155-169. ,lakes,denmark,grib so,NA,NA,NA,NA,NA,NA,NA,NA,4.8,NA,NA,100000,NA,NA,NA,NA,NA,NA,23.35,34.9,48.4,NA,NA
staehr,2012,lake metabolism scales with lake morphometry and catchment conditions,aquatic science,Staehr P.A.; Baastrup-Spohr L.; Sand-Jensen K. et al. 2012. Lake metabolism scales with lake morphometry and catchment conditions. Aquatic Science; 74: 155-169. ,lakes,denmark,hestskodam,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,5000,NA,NA,NA,NA,NA,NA,7.62,31,100.8,NA,NA
staehr,2012,lake metabolism scales with lake morphometry and catchment conditions,aquatic science,Staehr P.A.; Baastrup-Spohr L.; Sand-Jensen K. et al. 2012. Lake metabolism scales with lake morphometry and catchment conditions. Aquatic Science; 74: 155-169. ,lakes,denmark,karlsso,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA,29000,NA,NA,NA,NA,NA,NA,14.27,29.8,95,NA,NA
staehr,2012,lake metabolism scales with lake morphometry and catchment conditions,aquatic science,Staehr P.A.; Baastrup-Spohr L.; Sand-Jensen K. et al. 2012. Lake metabolism scales with lake morphometry and catchment conditions. Aquatic Science; 74: 155-169. ,lakes,denmark,klareso,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,NA,34000,NA,NA,NA,NA,NA,NA,16.84,402.3,115.2,NA,NA
staehr,2012,lake metabolism scales with lake morphometry and catchment conditions,aquatic science,Staehr P.A.; Baastrup-Spohr L.; Sand-Jensen K. et al. 2012. Lake metabolism scales with lake morphometry and catchment conditions. Aquatic Science; 74: 155-169. ,lakes,denmark,praestevang,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,7000,NA,NA,NA,NA,NA,NA,8.71,24.8,40.8,NA,NA
staehr,2012,lake metabolism scales with lake morphometry and catchment conditions,aquatic science,Staehr P.A.; Baastrup-Spohr L.; Sand-Jensen K. et al. 2012. Lake metabolism scales with lake morphometry and catchment conditions. Aquatic Science; 74: 155-169. ,lakes,denmark,selskovvej so,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,23000,NA,NA,NA,NA,NA,NA,7.68,26.1,43.6,NA,NA
staehr,2012,lake metabolism scales with lake morphometry and catchment conditions,aquatic science,Staehr P.A.; Baastrup-Spohr L.; Sand-Jensen K. et al. 2012. Lake metabolism scales with lake morphometry and catchment conditions. Aquatic Science; 74: 155-169. ,lakes,denmark,sidseldam,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,1000,NA,NA,NA,NA,NA,NA,3.02,65.3,249.4,NA,NA
staehr,2012,lake metabolism scales with lake morphometry and catchment conditions,aquatic science,Staehr P.A.; Baastrup-Spohr L.; Sand-Jensen K. et al. 2012. Lake metabolism scales with lake morphometry and catchment conditions. Aquatic Science; 74: 155-169. ,lakes,denmark,sortedam,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,5000,NA,NA,NA,NA,NA,NA,4.17,35.1,159.1,NA,NA
staehr,2012,lake metabolism scales with lake morphometry and catchment conditions,aquatic science,Staehr P.A.; Baastrup-Spohr L.; Sand-Jensen K. et al. 2012. Lake metabolism scales with lake morphometry and catchment conditions. Aquatic Science; 74: 155-169. ,lakes,denmark,strodam engso,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,176000,NA,NA,NA,NA,NA,NA,3.05,92.9,178.4,NA,NA
staehr,2012,lake metabolism scales with lake morphometry and catchment conditions,aquatic science,Staehr P.A.; Baastrup-Spohr L.; Sand-Jensen K. et al. 2012. Lake metabolism scales with lake morphometry and catchment conditions. Aquatic Science; 74: 155-169. ,lakes,denmark,teglgardsso,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,53000,NA,NA,NA,NA,NA,NA,5.68,24,54.8,NA,NA
sand-jensen,2009,net heterotrophy in small danish lakes: a widespread feature over gradients in trophic status and land cover,ecosystems,Sand-Jensen Kaj & Staehr Peter. 2009. Net Heterotrophy in Small Danish Lakes: A Widespread Feature Over Gradients in Trophic Status and Land Cover. Ecosystems; 12: 336-348. ,lakes,north zealand; denmark,agertoften,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,6061,NA,NA,NA,7.2,NA,NA,NA,11.7,72,1040,NA
sand-jensen,2009,net heterotrophy in small danish lakes: a widespread feature over gradients in trophic status and land cover,ecosystems,Sand-Jensen Kaj & Staehr Peter. 2009. Net Heterotrophy in Small Danish Lakes: A Widespread Feature Over Gradients in Trophic Status and Land Cover. Ecosystems; 12: 336-348. ,lakes,north zealand; denmark,badstuedam,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,28039,NA,NA,NA,8.2,NA,NA,NA,14.2,52,836,NA
sand-jensen,2009,net heterotrophy in small danish lakes: a widespread feature over gradients in trophic status and land cover,ecosystems,Sand-Jensen Kaj & Staehr Peter. 2009. Net Heterotrophy in Small Danish Lakes: A Widespread Feature Over Gradients in Trophic Status and Land Cover. Ecosystems; 12: 336-348. ,lakes,north zealand; denmark,bendstrup so,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2615,NA,NA,NA,7.6,NA,NA,NA,101.3,285,1575,NA
sand-jensen,2009,net heterotrophy in small danish lakes: a widespread feature over gradients in trophic status and land cover,ecosystems,Sand-Jensen Kaj & Staehr Peter. 2009. Net Heterotrophy in Small Danish Lakes: A Widespread Feature Over Gradients in Trophic Status and Land Cover. Ecosystems; 12: 336-348. ,lakes,north zealand; denmark,brededam,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,22719,NA,NA,NA,7.5,NA,NA,NA,12.7,51,522,NA
