author,title,name,location,ecosystem,date,state,attribute,value
kuczynska-kippen; n.; basinska; a. m.; swidnicki; k.,specificity of zooplankton distribution in meteorite crater ponds (morasko; poland),meteor1,western poland,meteorite crater ponds,,,max_depth,1.0
kuczynska-kippen; n.; basinska; a. m.; swidnicki; k.,specificity of zooplankton distribution in meteorite crater ponds (morasko; poland),meteor2,western poland,meteorite crater ponds,,,max_depth,1.0
kuczynska-kippen; n.; basinska; a. m.; swidnicki; k.,specificity of zooplankton distribution in meteorite crater ponds (morasko; poland),meteor3,western poland,meteorite crater ponds,,,max_depth,0.3
kuczynska-kippen; n.; basinska; a. m.; swidnicki; k.,specificity of zooplankton distribution in meteorite crater ponds (morasko; poland),meteor4,western poland,meteorite crater ponds,,,max_depth,0.7
hanrahan,multivariate chemometrical classification and assessment of lake tuendae: a mojave desert aquatic environment housing the endangered mojave tui chub,lake tuendae,mojave desert; california; united states,aquatic environment,,,max_depth,1.7
barica,some observations on internal recycling; regeneration and oscillation of dissolved nitrogen and phosphorus in shallow self-contained lakes,885,erickson; manitoba; canada,lake,,,max_depth,2.7
barica,some observations on internal recycling; regeneration and oscillation of dissolved nitrogen and phosphorus in shallow self-contained lakes,154,erickson; manitoba; canada,lake,,,max_depth,4.65
barica,some observations on internal recycling; regeneration and oscillation of dissolved nitrogen and phosphorus in shallow self-contained lakes,302,erickson; manitoba; canada,lake,,,max_depth,4.9
barica,some observations on internal recycling; regeneration and oscillation of dissolved nitrogen and phosphorus in shallow self-contained lakes,255,erickson; manitoba; canada,lake,,,max_depth,2.65
zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst1,southwest slovenia,karst pond,,,max_depth,0.7
zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst2,southwest slovenia,karst pond,,,max_depth,1.5
zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst3,southwest slovenia,karst pond,,,max_depth,0.3
zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst4,southwest slovenia,karst pond,,,max_depth,1.2
zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst5,southwest slovenia,karst pond,,,max_depth,3.3
zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst6,southwest slovenia,karst pond,,,max_depth,0.4
zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst7,southwest slovenia,karst pond,,,max_depth,0.8
zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst8,southwest slovenia,karst pond,,,max_depth,0.2
zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst9,southwest slovenia,karst pond,,,max_depth,1.3
zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst10,southwest slovenia,karst pond,,,max_depth,0.6
zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst11,southwest slovenia,karst pond,,,max_depth,3.0
zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst12,southwest slovenia,karst pond,,,max_depth,0.7
zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst13,southwest slovenia,karst pond,,,max_depth,0.5
zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst14,southwest slovenia,karst pond,,,max_depth,0.4
