,author,title,name,location,ecosystem,date,state,attribute,value
0,chopyk et al.,agricultural freshwater pond supports diverse and dynamic bacterial and viral populations,,central maryland; usa,ponds,,,max_depth,3.35
1,chopyk et al.,agricultural freshwater pond supports diverse and dynamic bacterial and viral populations,,central maryland; usa,ponds,,,ph,7.78
2,chopyk et al.,agricultural freshwater pond supports diverse and dynamic bacterial and viral populations,,central maryland; usa,ponds,,,surface_area,2600.0
3,tudor; m.; tudor; i-m; ibram; o.; teodorof; l.; nastase; c.; deak; g. y.,analysis of biological indicators related to the surface water quality in the danube delta biosphere reserve,cuibul cu lebede lake,danube delta,shallow lake,,,ph,8.03
4,tudor; m.; tudor; i-m; ibram; o.; teodorof; l.; nastase; c.; deak; g. y.,analysis of biological indicators related to the surface water quality in the danube delta biosphere reserve,isac lake,danube delta,shallow lake,,,ph,7.75
5,tudor; m.; tudor; i-m; ibram; o.; teodorof; l.; nastase; c.; deak; g. y.,analysis of biological indicators related to the surface water quality in the danube delta biosphere reserve,uzlina lake,danube delta,shallow lake,,,ph,7.19
6,tudor; m.; tudor; i-m; ibram; o.; teodorof; l.; nastase; c.; deak; g. y.,analysis of biological indicators related to the surface water quality in the danube delta biosphere reserve,erenciuc lake,danube delta,shallow lake,,,ph,7.6
7,fontanarrosa,aquatic insect assemblages of man-made permanent ponds; buenos aires city; argentina,p2,,pond,,,max_depth,1.0
8,fontanarrosa,aquatic insect assemblages of man-made permanent ponds; buenos aires city; argentina,p1,,pond,,,max_depth,1.0
9,fontanarrosa,aquatic insect assemblages of man-made permanent ponds; buenos aires city; argentina,p3,,pond,,,max_depth,5.0
10,fontanarrosa,aquatic insect assemblages of man-made permanent ponds; buenos aires city; argentina,p4,,pond,,,max_depth,1.0
11,fontanarrosa,aquatic insect assemblages of man-made permanent ponds; buenos aires city; argentina,p2,,pond,,,ph,8.53
12,fontanarrosa,aquatic insect assemblages of man-made permanent ponds; buenos aires city; argentina,p1,,pond,,,ph,8.33
13,fontanarrosa,aquatic insect assemblages of man-made permanent ponds; buenos aires city; argentina,p3,,pond,,,ph,7.4
14,fontanarrosa,aquatic insect assemblages of man-made permanent ponds; buenos aires city; argentina,p4,,pond,,,ph,9.86
15,fontanarrosa,aquatic insect assemblages of man-made permanent ponds; buenos aires city; argentina,p1,,pond,,,surface_area,4700.0
16,fontanarrosa,aquatic insect assemblages of man-made permanent ponds; buenos aires city; argentina,p2,,pond,,,surface_area,9500.0
17,fontanarrosa,aquatic insect assemblages of man-made permanent ponds; buenos aires city; argentina,p4,,pond,,,surface_area,49400.0
18,fontanarrosa,aquatic insect assemblages of man-made permanent ponds; buenos aires city; argentina,p3,,pond,,,surface_area,99700.0
19,fontanarrosa,aquatic insect assemblages of man-made permanent ponds; buenos aires city; argentina,p4,,pond,,,tp,190.0
20,fontanarrosa,aquatic insect assemblages of man-made permanent ponds; buenos aires city; argentina,p3,,pond,,,tp,40.0
21,fontanarrosa,aquatic insect assemblages of man-made permanent ponds; buenos aires city; argentina,p2,,pond,,,tp,120.0
22,fontanarrosa,aquatic insect assemblages of man-made permanent ponds; buenos aires city; argentina,p1,,pond,,,tp,60.0
23,sepulveda-jauregui; armando; martinez-cruz; karla; lau; maximilian; casper; peter,assessment of methane and carbon dioxide emissions in two sub-basins of a small acidic bog lake artificially divided 30 years ago,grosse fuchskuhle ne,mecklenburg-brandenburg lake district,small acidic bog lake,,,chla,32.3
24,sepulveda-jauregui; armando; martinez-cruz; karla; lau; maximilian; casper; peter,assessment of methane and carbon dioxide emissions in two sub-basins of a small acidic bog lake artificially divided 30 years ago,grosse fuchskuhle sw,mecklenburg-brandenburg lake district,small acidic bog lake,,,chla,32.0
25,sepulveda-jauregui; armando; martinez-cruz; karla; lau; maximilian; casper; peter,assessment of methane and carbon dioxide emissions in two sub-basins of a small acidic bog lake artificially divided 30 years ago,grosse fuchskuhle,mecklenburg-brandenburg lake district,small acidic bog lake,,,chla,8.0
