dataset,ecosystem,attribute,setting,unit,n,n_eff,sum_w,mean,std,q1,median,q3
pond,pond,surface_area,ground_truth,m^2,264,264.0,264.0,7309.30303030303,19510.706298277193,414.0,2500.0,5665.0
pond,pond,surface_area,extracted,m^2,352,352.0,352.0,6475.652557386363,18459.30483597288,230.0,621.4999999999999,3743.5
pond,pond,surface_area,judge_filtered,m^2,253,253.0,253.0,7125.528458498024,20307.84124073432,300.0,1000.0,4219.25
pond,pond,surface_area,ntp_weighted,m^2,352,302.2387711028833,238.55454904812257,5057.613082167513,16260.917673320775,215.17135479058695,500.0,2907.897207362623
pond,pond,surface_area,probe_weighted,m^2,352,317.20233767100103,271.72111837015507,5312.429387637721,16649.807947569803,229.2143844177901,600.0,3101.202970981906
pond,pond,max_depth,ground_truth,m,161,161.0,161.0,1.7232602484472048,1.6500771400634389,0.8,1.0,1.805
pond,pond,max_depth,extracted,m,228,228.0,228.0,2.5071570175438596,5.766279410495686,0.65,1.0,2.0
pond,pond,max_depth,judge_filtered,m,98,98.0,98.0,2.6043724489795923,2.217090816175842,0.96,1.6250000000000002,4.0
pond,pond,max_depth,ntp_weighted,m,228,171.31525233687128,125.70767930030256,2.8171062740618744,5.50535801658655,0.8,1.0,3.0
pond,pond,max_depth,probe_weighted,m,228,181.32185901127204,144.72951617244416,2.8142195317041345,6.043030166844189,0.7851268362662974,1.0,3.0
pond,pond,vegetation_cover,ground_truth,percent,37,37.0,37.0,56.20810810810811,33.5760610685184,22.650000000000002,65.0,81.47500000000001
pond,pond,vegetation_cover,extracted,percent,209,209.0,209.0,39.71738717703349,32.18305738865566,4.8375,38.0,63.0
pond,pond,vegetation_cover,judge_filtered,percent,47,47.0,47.0,45.90142553191489,33.59672415238587,13.8,42.0,75.825
pond,pond,vegetation_cover,ntp_weighted,percent,209,137.8867614890696,66.46113582494226,42.08183963528916,34.270070276570465,5.0,38.37528142008519,63.0
pond,pond,vegetation_cover,probe_weighted,percent,209,173.6655439815902,121.34305316731763,36.106959708697204,32.854303537854484,3.65,33.0,63.0
pond,pond,ph,ground_truth,,115,115.0,115.0,7.409652173913043,1.2132007328989858,6.765,7.72,8.3
pond,pond,ph,extracted,,303,303.0,303.0,6.579415841584159,2.2094623657597063,6.0375000000000005,7.6,8.0
pond,pond,ph,judge_filtered,,157,157.0,157.0,7.260573248407642,1.3375073649632914,6.795,7.66,8.2625
pond,pond,ph,ntp_weighted,,303,206.83173607368303,129.0474729212587,6.944812978675516,1.8175258947472825,6.45,7.607101202143183,8.1
pond,pond,ph,probe_weighted,,303,242.31976568015824,181.27708473668824,6.571003554522836,2.060513802887453,5.850568545829135,7.552479558675933,8.0
pond,pond,tn,ground_truth,µg/L,50,50.0,50.0,1083.772,860.6854361590689,670.0,908.3499999999999,1200.0
pond,pond,tn,extracted,µg/L,78,78.0,78.0,2015.9050064102566,6508.312115562288,334.0,680.0,1240.0
pond,pond,tn,judge_filtered,µg/L,28,28.0,28.0,2464.8464285714285,6992.864033479238,712.5,1047.85,1605.0
pond,pond,tn,ntp_weighted,µg/L,78,50.542022899662214,22.777398839283517,1789.3814513431107,5563.990531562125,396.13297430305414,711.7253323905665,1324.4628453184482
pond,pond,tn,probe_weighted,µg/L,78,37.12060876347953,19.2426162526219,3335.994109050901,8673.74166248039,548.546330084676,996.0310583650329,1987.6303670156203
pond,pond,tp,ground_truth,µg/L,42,42.0,42.0,109.13095238095238,268.8134691820798,8.7,15.200000000000001,43.0
pond,pond,tp,extracted,µg/L,137,137.0,137.0,244.6279416058394,1181.7013920039178,10.7,30.21,113.39999999999986
pond,pond,tp,judge_filtered,µg/L,67,67.0,67.0,162.15629850746265,307.766589310058,10.775,30.21,169.0
pond,pond,tp,ntp_weighted,µg/L,137,94.82579456541082,41.640774552377515,257.9113252324319,1012.1606139923057,10.7,30.21,169.0
pond,pond,tp,probe_weighted,µg/L,137,110.16772005130501,69.37623781042834,157.04809288484873,728.3700379864209,8.312969575980283,17.607242440794973,69.0
pond,pond,chla,ground_truth,µg/L,41,41.0,41.0,0.8097560975609757,0.7841571519946688,0.0,0.8,1.2249999999999999
pond,pond,chla,extracted,µg/L,84,84.0,84.0,176.55833333333334,424.9446466995843,0.8,3.25,123.0
pond,pond,chla,judge_filtered,µg/L,45,45.0,45.0,30.853333333333335,68.75836345823355,0.8,1.5,24.974999999999994
pond,pond,chla,ntp_weighted,µg/L,84,56.5812182107085,34.9666404204352,106.0506316507535,311.71773828005564,0.8,3.2330565205130366,58.24595378638462
pond,pond,chla,probe_weighted,µg/L,84,72.52301558858889,47.221057407487436,120.94951251208526,350.00403973192914,0.8,2.5434699429324468,32.40394603315386
pond,lake,surface_area,ground_truth,m^2,197,197.0,197.0,47392.395939086295,50378.41161765565,6045.750000000001,28000.0,83750.00000000001
pond,lake,surface_area,extracted,m^2,396,396.0,396.0,156160.9090909091,209525.16207049007,16000.0,59499.999999999985,208500.0
pond,lake,surface_area,judge_filtered,m^2,293,293.0,293.0,142181.3242320819,205851.03873645476,11000.0,52200.0,170000.0
pond,lake,surface_area,ntp_weighted,m^2,396,327.75556385259426,255.89188397200041,143605.12643739895,203183.76355608655,11333.671929842623,53000.0,170000.0
pond,lake,surface_area,probe_weighted,m^2,396,378.9260053443796,336.2997289720535,149971.60836006212,205852.40314010653,15855.451822972966,57000.0,172788.48402048222
pond,lake,max_depth,ground_truth,m,99,99.0,99.0,4.0206060606060605,2.477844198863287,1.8,4.3,5.675000000000001
pond,lake,max_depth,extracted,m,335,335.0,335.0,7.257761194029852,8.69611180595117,1.7,4.5,8.3
pond,lake,max_depth,judge_filtered,m,150,150.0,150.0,7.8894,8.393440650073646,3.0,5.45,10.0
pond,lake,max_depth,ntp_weighted,m,335,251.62105648989782,174.55212887249905,7.539591794157999,8.066051504947891,2.0,5.25,9.44472566876907
pond,lake,max_depth,probe_weighted,m,335,305.92287098040686,253.9300455395038,7.605537599631166,8.738661518658402,1.8,4.965975348738911,10.0
pond,lake,vegetation_cover,ground_truth,percent,33,33.0,33.0,47.9030303030303,35.57032194161732,15.5,52.5,79.25
pond,lake,vegetation_cover,extracted,percent,53,53.0,53.0,46.264150943396224,34.5493799028157,13.75,42.5,75.25
pond,lake,vegetation_cover,judge_filtered,percent,47,47.0,47.0,44.361702127659576,35.52688848936014,7.750000000000002,42.0,74.5
pond,lake,vegetation_cover,ntp_weighted,percent,53,34.945750829960126,20.97540133930082,46.72817966809909,31.716547623025168,20.63370575283257,42.5,68.0
pond,lake,vegetation_cover,probe_weighted,percent,53,51.26361497486439,41.184925202631014,46.88659946343687,34.93433830640784,13.739637104175273,42.5,75.94332858709326
pond,lake,ph,ground_truth,,73,73.0,73.0,7.52123287671233,1.0896902531421477,7.2675,7.8,8.125
pond,lake,ph,extracted,,184,184.0,184.0,7.195923913043478,1.3883623307307984,6.56,7.6,8.1
pond,lake,ph,judge_filtered,,147,147.0,147.0,7.2121768707483,1.3577174222346327,6.56,7.5,8.1
pond,lake,ph,ntp_weighted,,184,147.67599499689427,109.24412654205746,7.2495446557110155,1.250438940366825,6.670783041524467,7.591659561364851,8.1
pond,lake,ph,probe_weighted,,184,164.27916333935042,127.47456467227973,7.215348260872402,1.276707666263485,6.6233398313069225,7.5,8.0
pond,lake,tn,ground_truth,µg/L,61,61.0,61.0,903.944262295082,622.9605556064766,467.42499999999995,794.0,1014.5
pond,lake,tn,extracted,µg/L,67,67.0,67.0,1424.665671641791,3317.499725219885,405.5,740.7,1100.0
pond,lake,tn,judge_filtered,µg/L,46,46.0,46.0,1057.1108695652174,728.3888952806158,512.4,899.1,1160.0
pond,lake,tn,ntp_weighted,µg/L,67,45.914526351533425,20.650111884712157,1266.9033696949184,2798.3822859771763,404.7529843528003,641.4225433324616,1076.9769544934184
