dataset,ecosystem,attribute,setting,unit,n,n_eff,sum_w,mean,std,q1,median,q3
pond,pond,surface_area,ground_truth,m^2,264,264.0,264.0,7309.30303030303,19510.706298277193,414.0,2500.0,5665.0
pond,pond,surface_area,extracted,m^2,352,352.0,352.0,6475.652557386363,18459.30483597288,230.0,621.4999999999999,3743.5
pond,pond,surface_area,judge_filtered,m^2,285,285.0,285.0,6231.244561403509,19176.415773949167,250.0,700.0,3586.25
pond,pond,surface_area,ntp_weighted,m^2,352,317.26478030798296,282.19473051885177,6468.45305869195,19535.971629425167,250.0,612.6947286139531,3389.5023488992165
pond,pond,surface_area,probe_weighted,m^2,352,323.67542251026407,250.74202489667624,6773.437269064778,19802.54653721298,230.0,713.36898290093,3764.0337726690727
pond,pond,max_depth,ground_truth,m,161,161.0,161.0,1.7232602484472048,1.6500771400634389,0.8,1.0,1.805
pond,pond,max_depth,extracted,m,228,228.0,228.0,2.5071570175438596,5.766279410495686,0.65,1.0,2.0
pond,pond,max_depth,judge_filtered,m,120,120.0,120.0,2.850608333333333,4.9522059918428525,0.99,1.3599999999999999,3.35
pond,pond,max_depth,ntp_weighted,m,228,182.11673651689046,129.22803394701197,3.219440057281964,6.870624914723595,0.701159587896926,1.0,3.0
pond,pond,max_depth,probe_weighted,m,228,164.3352058149525,128.9160772757942,3.0004918596040846,5.863938313040284,0.8,1.4,3.064794262122058
pond,pond,vegetation_cover,ground_truth,percent,37,37.0,37.0,56.20810810810811,33.5760610685184,22.650000000000002,65.0,81.47500000000001
pond,pond,vegetation_cover,extracted,percent,209,209.0,209.0,39.71738717703349,32.18305738865566,4.8375,38.0,63.0
pond,pond,vegetation_cover,judge_filtered,percent,51,51.0,51.0,33.42288235294118,31.37259077133864,4.0,26.0,53.875
pond,pond,vegetation_cover,ntp_weighted,percent,209,175.37332383195528,88.26475946781835,39.80321861827412,31.170888462768662,5.399232191166149,42.0,63.0
pond,pond,vegetation_cover,probe_weighted,percent,209,143.54045750946088,97.04680288182008,36.75971088639959,33.78235918799637,4.0,37.5,63.0
pond,pond,ph,ground_truth,,115,115.0,115.0,7.409652173913043,1.2132007328989858,6.765,7.72,8.3
pond,pond,ph,extracted,,303,303.0,303.0,6.579415841584159,2.2094623657597063,6.0375000000000005,7.6,8.0
pond,pond,ph,judge_filtered,,190,190.0,190.0,7.260000000000001,1.2630508123180773,6.72,7.68,8.1
pond,pond,ph,ntp_weighted,,303,249.1462297120083,199.01108238554048,6.745123334609766,1.9415880410206263,6.0,7.6,8.0
pond,pond,ph,probe_weighted,,303,274.62357074156523,227.93342491519104,6.639648377818596,2.092020054822863,6.0,7.6,8.0
pond,pond,tn,ground_truth,µg/L,50,50.0,50.0,1083.772,860.6854361590689,670.0,908.3499999999999,1200.0
pond,pond,tn,extracted,µg/L,78,78.0,78.0,2015.9050064102566,6508.312115562288,334.0,680.0,1240.0
pond,pond,tn,judge_filtered,µg/L,22,22.0,22.0,1450.6909090909091,1185.7888059407423,710.0,1180.0,2009.9999999999998
pond,pond,tn,ntp_weighted,µg/L,78,62.11901850270979,35.261763417094436,2027.732929044849,5885.491047095753,389.4682527851754,712.2785553268271,1330.0
pond,pond,tn,probe_weighted,µg/L,78,53.6880723385416,27.672232427487508,3251.931658353226,8944.330386410695,369.4687904903238,715.3182792258547,1542.6815229790525
pond,pond,tp,ground_truth,µg/L,42,42.0,42.0,109.13095238095238,268.8134691820798,8.7,15.200000000000001,43.0
pond,pond,tp,extracted,µg/L,137,137.0,137.0,244.6279416058394,1181.7013920039178,10.7,30.21,113.39999999999986
pond,pond,tp,judge_filtered,µg/L,75,75.0,75.0,110.12373333333332,221.59055765675268,11.65,30.21,128.5000000000001
pond,pond,tp,ntp_weighted,µg/L,137,108.49578556557304,74.76617233976413,202.92586840626,963.6706918163133,9.680220506391484,20.477618100952586,101.45033181666376
pond,pond,tp,probe_weighted,µg/L,137,108.7496224983976,69.1401081159652,104.4783389396136,399.0213132461799,8.986937236115137,21.74181660644677,69.0
pond,pond,chla,ground_truth,µg/L,41,41.0,41.0,0.8097560975609757,0.7841571519946688,0.0,0.8,1.2249999999999999
pond,pond,chla,extracted,µg/L,84,84.0,84.0,176.55833333333334,424.9446466995843,0.8,3.25,123.0
pond,pond,chla,judge_filtered,µg/L,42,42.0,42.0,23.899285714285718,45.51879506704237,0.8,1.5500000000000003,23.4
pond,pond,chla,ntp_weighted,µg/L,84,68.9228572037396,53.53333479836813,111.88066692402128,326.7018217756118,0.8,2.19326047691747,32.63572613466456
pond,pond,chla,probe_weighted,µg/L,84,75.63943641611827,47.6512116438887,153.84589906358585,395.655719112236,0.8,2.932336514343601,103.53347488277952
pond,lake,surface_area,ground_truth,m^2,197,197.0,197.0,47392.395939086295,50378.41161765565,6045.750000000001,28000.0,83750.00000000001
pond,lake,surface_area,extracted,m^2,396,396.0,396.0,156160.9090909091,209525.16207049007,16000.0,59499.999999999985,208500.0
pond,lake,surface_area,judge_filtered,m^2,337,337.0,337.0,156249.88130563797,209861.17172094283,16000.0,60000.0,215682.00000000006
pond,lake,surface_area,ntp_weighted,m^2,396,353.1214583619048,318.135191406171,149748.53458984004,207400.20931474093,14629.980671014651,55489.19335938147,175761.03870666
pond,lake,surface_area,probe_weighted,m^2,396,379.42265404852685,343.61043685791145,156443.14961728998,209491.98116466787,17884.476320521764,60000.0,192723.94956861335
pond,lake,max_depth,ground_truth,m,99,99.0,99.0,4.0206060606060605,2.477844198863287,1.8,4.3,5.675000000000001
pond,lake,max_depth,extracted,m,335,335.0,335.0,7.257761194029852,8.69611180595117,1.7,4.5,8.3
pond,lake,max_depth,judge_filtered,m,189,189.0,189.0,7.792010582010582,8.733395563222658,2.3,5.0,10.0
pond,lake,max_depth,ntp_weighted,m,335,275.4898397233126,202.00739244443702,7.681521405019337,8.689411372967117,2.0,5.169235814476422,9.300884945997167
pond,lake,max_depth,probe_weighted,m,335,320.3314974989233,277.9028461552015,7.479283090772819,8.83526809499773,1.8,4.9,8.731683581552884
pond,lake,vegetation_cover,ground_truth,percent,33,33.0,33.0,47.9030303030303,35.57032194161732,15.5,52.5,79.25
pond,lake,vegetation_cover,extracted,percent,53,53.0,53.0,46.264150943396224,34.5493799028157,13.75,42.5,75.25
pond,lake,vegetation_cover,judge_filtered,percent,47,47.0,47.0,47.47872340425532,36.08187510895676,13.25,42.5,79.0
pond,lake,vegetation_cover,ntp_weighted,percent,53,44.1953434683004,35.24800367317266,49.08640964546809,35.28586083664079,14.918874192517219,47.6532108576282,79.70555567646362
pond,lake,vegetation_cover,probe_weighted,percent,53,51.09909126225986,38.724447763766634,45.94537481705064,34.22020363468547,13.78284588848814,42.5,75.19201450739804
pond,lake,ph,ground_truth,,73,73.0,73.0,7.52123287671233,1.0896902531421477,7.2675,7.8,8.125
pond,lake,ph,extracted,,184,184.0,184.0,7.195923913043478,1.3883623307307984,6.56,7.6,8.1
pond,lake,ph,judge_filtered,,148,148.0,148.0,7.2520945945945945,1.3447606839558626,6.6499999999999995,7.6,8.1
pond,lake,ph,ntp_weighted,,184,154.1978314368496,127.4381126018265,7.2621851443133805,1.3569505799515462,6.588051521706106,7.8,8.1
pond,lake,ph,probe_weighted,,184,172.0393527334627,141.64689441172885,7.290579292146561,1.324862750097691,6.797738992771731,7.63,8.1
pond,lake,tn,ground_truth,µg/L,61,61.0,61.0,903.944262295082,622.9605556064766,467.42499999999995,794.0,1014.5
pond,lake,tn,extracted,µg/L,67,67.0,67.0,1424.665671641791,3317.499725219885,405.5,740.7,1100.0
pond,lake,tn,judge_filtered,µg/L,38,38.0,38.0,1134.1631578947367,776.0509980529291,514.0,1000.0,1534.0
pond,lake,tn,ntp_weighted,µg/L,67,54.02672277691805,40.26141574363543,1197.8421927830925,2576.4250910017463,441.3918692590428,798.6017897391412,1100.0
