Dataset type,Judge model,Train dataset,Test dataset,Type,Accuracy,Precision,Recall,F1,AUROC,ECE,ECE_lo,ECE_hi,ECE_em,ECE_em_lo,ECE_em_hi,RMSCE_db,RMSCE_db_lo,RMSCE_db_hi,SmECE,SmECE_lo,SmECE_hi,Recovery,Validity
syn,qwen-2.5-7b-base,pond,pond,NTP,0.6666666666666666,,0.0,,0.5591539467026481,0.014372161040817757,0.005085943996833854,0.02943284825921872,0.029622546880528917,0.023242091270725105,0.045357694933339195,0.029280007033331116,0.019772799037320325,0.0509399938628503,0.020595396243391673,0.013519100824451066,0.02767169166233228,0.0,0.0
syn,qwen-2.5-7b-base,pond,pond,Probe,0.7465367965367965,0.6041784302653868,0.6948051948051948,0.6463304137722742,0.8301920644290773,0.20343033545231404,0.19233228931443122,0.21634015920603028,0.19919377424992157,0.1869465419256935,0.2130046250580016,0.2477996043291702,0.2346791021743133,0.26281733987864236,0.22258052381081703,0.21143046958439915,0.2337305780372349,0.6948051948051948,0.6041784302653868
syn,qwen-2.5-7b-base,pond,nfix+supermat,NTP,0.6666666666666666,,0.0,,0.5325037703836366,0.03520697876898683,0.019442832734958754,0.05093942589037158,0.04159900692474148,0.032720009256035146,0.06083587813007932,0.045195184739153904,0.03264308266130433,0.06925926640496331,0.03155173961667201,0.021819848056215674,0.04128363117712834,0.0,0.0
syn,qwen-2.5-7b-base,pond,nfix+supermat,Probe,0.6485436893203883,0.4575757575757576,0.29320388349514565,0.357396449704142,0.6002264586671694,0.3170117778874461,0.30022141798742485,0.3343494691707919,0.3098457515281019,0.2924792077984543,0.3267658599359472,0.3289835180955036,0.3124313050357451,0.3472810666474469,0.3074387327348399,0.2906089971879166,0.3242684682817632,0.29320388349514565,0.4575757575757576
syn,qwen-2.5-7b-base,nfix,nfix,NTP,0.6666666666666666,,0.0,,0.5393475230777625,0.0022717798904404807,0.0016265001261683168,0.02931182576333553,0.04409050932790987,0.03308845003665783,0.07420149056136616,0.038371821383117614,0.007091555944162571,0.07801647908826576,0.013589195552666626,-0.0033368489928307724,0.030515240098164025,0.0,0.0
syn,qwen-2.5-7b-base,nfix,nfix,Probe,0.6577579806978471,0.486784140969163,0.4922048997772829,0.48947951273532675,0.7023452264621703,0.29085718552849293,0.26916803231597025,0.31781487795455204,0.2817185442681355,0.2599328122924283,0.31042365007822914,0.3276476828138839,0.30081368005867337,0.3594068656927268,0.29692225862644633,0.27130544427334924,0.32253907297954343,0.4922048997772829,0.486784140969163
syn,qwen-2.5-7b-base,nfix,pond+supermat,NTP,0.6666666666666666,,0.0,,0.5467546754675467,0.023024671740656706,0.012027365458672978,0.03462950149791127,0.0284432091763693,0.023598486028480064,0.04374103865993496,0.02897086836585007,0.0235916747196682,0.04838827944678348,0.021783694775296188,0.01259275764411931,0.030974631906473066,0.0,0.0
syn,qwen-2.5-7b-base,nfix,pond+supermat,Probe,0.6525223950966526,0.48534201954397393,0.7024988213107025,0.5740705066461183,0.7087010277103685,0.31953257953450637,0.30779675000242473,0.33174640418816975,0.31928523912067863,0.30685713416243404,0.3300422021885129,0.35915194847695125,0.34628702595048655,0.37175319489433895,0.3090600875462791,0.29821138671908565,0.3199087883734726,0.7024988213107025,0.48534201954397393
syn,qwen-2.5-7b-base,supermat,supermat,NTP,0.6666666666666666,,0.0,,0.5572229908075874,0.014756035595769667,0.004566709325020319,0.0373292675032414,0.03488368978435195,0.026719114226752407,0.06170420064544547,0.0234547257247801,0.0,0.06545759932741944,0.01886716212297005,0.009003136537720585,0.028731187708219516,0.0,0.0
syn,qwen-2.5-7b-base,supermat,supermat,Probe,0.6907630522088354,0.5337620578778135,0.5714285714285714,0.5519534497090606,0.7364187509813042,0.24101066488736342,0.22078179058116493,0.2634962048828496,0.23490930741182248,0.21260296299539855,0.2552694379138721,0.2701291704819386,0.24727593100791925,0.29294359321647995,0.23412608927933673,0.21486153357541532,0.25339064498325814,0.5714285714285714,0.5337620578778135
