Dataset type,Judge model,Train dataset,Test dataset,Type,Accuracy,Precision,Recall,F1,AUROC,ECE,ECE_lo,ECE_hi,ECE_em,ECE_em_lo,ECE_em_hi,RMSCE_db,RMSCE_db_lo,RMSCE_db_hi,SmECE,SmECE_lo,SmECE_hi,Recovery,Validity
syn,llama-3.1-8b,pond,pond,NTP,0.754978354978355,0.6513353115727003,0.5701298701298702,0.6080332409972299,0.8095394459436667,0.04948967289989649,0.039975227381043914,0.06149001879123629,0.051817750162573284,0.04296928326564098,0.06549241774540404,0.058598180226842156,0.04769030382586324,0.07394008564587257,0.04569348638437964,0.03640595334870275,0.05498101942005652,0.5701298701298702,0.6513353115727003
syn,llama-3.1-8b,pond,pond,Probe,0.8244588744588744,0.7647058823529411,0.6837662337662338,0.7219746314706891,0.8974696407488616,0.04785980912530116,0.04163781205941923,0.06006436100836064,0.04851534939172558,0.04069079477052884,0.059474856059082586,0.05209494591343806,0.04349105557447066,0.06600980776027629,0.048803680161940234,0.039775460554947316,0.05783189976893315,0.6837662337662338,0.7647058823529411
syn,llama-3.1-8b,pond,nfix+supermat,NTP,0.6983818770226538,0.55,0.5233009708737864,0.536318407960199,0.6928586577434255,0.1328456841186848,0.11875260980820937,0.14931146436396445,0.13374033589150175,0.12138217279083895,0.1520430159184314,0.16433593693584758,0.14924719416398508,0.1830046702278157,0.12141897301745017,0.10913177303791899,0.13370617299698134,0.5233009708737864,0.55
syn,llama-3.1-8b,pond,nfix+supermat,Probe,0.5048543689320388,0.36965589155370177,0.6883495145631068,0.4810040705563094,0.601491422377227,0.3301890025766303,0.31208254398796,0.34752037234643707,0.3289110630118214,0.3121489375657003,0.34818430725242316,0.3916929482292628,0.372673171151552,0.40946645722919583,0.30286214116173676,0.28789572967999344,0.3178285526434801,0.6883495145631068,0.36965589155370177
syn,llama-3.1-8b,nfix,nfix,NTP,0.6844840386043058,0.5555555555555556,0.267260579064588,0.3609022556390978,0.655935486431119,0.07811996295584996,0.060876779161491645,0.10658007331548014,0.07933577870402805,0.06674012278278373,0.11085135980533824,0.09236433830367718,0.07470524793623684,0.1286667981422553,0.0771992944251626,0.05616313512294868,0.09823545372737652,0.267260579064588,0.5555555555555556
syn,llama-3.1-8b,nfix,nfix,Probe,0.6926503340757239,0.6223776223776224,0.19821826280623608,0.30067567567567566,0.6822225584198491,0.0862096235061238,0.0688928430594704,0.11173824397713805,0.08299469693204536,0.06795862653545957,0.1095496089352993,0.09007241040264713,0.07455445497871019,0.12452321583421208,0.07524968312034923,0.05433480023609982,0.09616456600459863,0.19821826280623608,0.6223776223776224
syn,llama-3.1-8b,nfix,pond+supermat,NTP,0.7103567499607104,0.5492558469170801,0.7307873644507308,0.6271495043495853,0.7954095470165323,0.16346423353093376,0.15321978804694708,0.17360418509736358,0.16346423353093378,0.15321978804694705,0.1736041850973636,0.17466365069086262,0.1642514019575017,0.1863467080586059,0.16347948357240777,0.15121511207230387,0.17574385507251167,0.7307873644507308,0.5492558469170801
syn,llama-3.1-8b,nfix,pond+supermat,Probe,0.7070564199277071,0.5539236256819136,0.6223479490806223,0.586145648312611,0.7509400061040656,0.087890524768821,0.07729361643251725,0.09819358208818182,0.08789052476882099,0.07729361643251724,0.0981935820881818,0.09433664484121661,0.08424114982835278,0.1068018177617323,0.08782575051771335,0.07518416690872803,0.10046733412669867,0.6223479490806223,0.5539236256819136
syn,llama-3.1-8b,supermat,supermat,NTP,0.7544463568559954,0.6638115631691649,0.5335628227194492,0.5916030534351145,0.8026564087676006,0.04640696268067727,0.03471153961271388,0.06981004974265109,0.04472544758548894,0.03146376209028845,0.06585722970143537,0.04045735136701399,0.02428316771474944,0.07158508195738024,0.03985442926027873,0.024160651668758387,0.05554820685179908,0.5335628227194492,0.6638115631691649
syn,llama-3.1-8b,supermat,supermat,Probe,0.7641996557659209,0.6647286821705426,0.5903614457831325,0.625341841385597,0.8383388483859213,0.07781753329443075,0.062023784726508255,0.09716259152742714,0.08298657862152818,0.0660709804748134,0.10150272697589827,0.0863120099553126,0.06847749531120498,0.1084835942751414,0.06585272175731094,0.0534164984179049,0.07828894509671698,0.5903614457831325,0.6647286821705426
