Dataset type,Judge model,Train dataset,Test dataset,Type,Accuracy,Precision,Recall,F1,AUROC,ECE,Recovery,Validity
syn,llama-3.1-8b,pond,pond,NTP,0.7365800865800866,0.5907813378302417,0.6824675324675324,0.6333232901476348,0.8095394459436667,0.10927554161358108,0.6824675324675324,0.5907813378302417
syn,llama-3.1-8b,pond,pond,Probe,0.8281385281385282,0.7637906647807637,0.7012987012987013,0.7312119160460392,0.8974696407488616,0.05126137509523252,0.7012987012987013,0.7637906647807637
syn,llama-3.1-8b,pond,nfix,NTP,0.6688938381588716,1.0,0.0066815144766146995,0.013274336283185839,0.655935486431119,0.31104655757879784,0.0066815144766146995,1.0
syn,llama-3.1-8b,pond,nfix,Probe,0.680029695619896,0.6323529411764706,0.0957683741648107,0.1663442940038685,0.6500277776399919,0.1495960517158879,0.0957683741648107,0.6323529411764706
syn,llama-3.1-8b,nfix,pond,NTP,0.3333333333333333,0.3333333333333333,1.0,0.5,0.8095394459436667,0.5155661947096875,1.0,0.3333333333333333
syn,llama-3.1-8b,nfix,pond,Probe,0.6251082251082251,0.46617336152219874,0.8590909090909091,0.6043855641845591,0.7801619160060719,0.22993362986705868,0.8590909090909091,0.46617336152219874
syn,llama-3.1-8b,nfix,nfix,NTP,0.682256867112101,0.6,0.1403118040089087,0.22743682310469313,0.655935486431119,0.1578819999196539,0.1403118040089087,0.6
syn,llama-3.1-8b,nfix,nfix,Probe,0.6666666666666666,,0.0,,0.6822225584198491,0.33333324563354394,0.0,0.0
real,llama-3.1-8b,pond,pond,NTP,0.906703253626029,0.906703253626029,1.0,0.9510690789473685,0.7789376450969493,0.09329671896019931,0.8045454545454546,0.906703253626029
real,llama-3.1-8b,pond,pond,Probe,0.906703253626029,0.906703253626029,1.0,0.9510690789473685,0.679382518247247,0.0932967459055335,0.8045454545454546,0.906703253626029
real,llama-3.1-8b,pond,nfix,NTP,0.598343685300207,0.9190751445086706,0.5296469020652899,0.6720202874049029,0.8000690954676773,0.29285221436245856,0.32282608695652176,0.9190751445086706
real,llama-3.1-8b,pond,nfix,Probe,0.7769151138716356,0.7769151138716356,1.0,0.8744538304689776,0.7488294733132281,0.22308488584469977,0.5978260869565217,0.7769151138716356
real,llama-3.1-8b,nfix,pond,NTP,0.8974410638726577,0.8974410638726577,1.0,0.9459488159711161,0.7611921206341533,0.1025589322397581,0.7572757275727573,0.8974410638726577
real,llama-3.1-8b,nfix,pond,Probe,0.6300624622204312,0.9554627696590118,0.6165244723843736,0.7494541484716157,0.726133459427653,0.36686461897017447,0.5274527452745275,0.9554627696590118
real,llama-3.1-8b,nfix,nfix,NTP,0.8511837655016911,0.8511837655016911,1.0,0.9196102314250912,0.8041741922536625,0.1488162110835871,0.6842105263157895,0.8511837655016911
real,llama-3.1-8b,nfix,nfix,Probe,0.1488162344983089,,0.0,,0.7960766606461971,0.8511837620157588,0.0,0.0
