dataset,ecosystem,attribute,setting,unit,n_gt,n_ext,n_eff,ext_qlo,ext_qhi,w2,w2_skip,w2_lo,w2_hi,w2_n_boot_ok,w2_log,w2_log_skip,w2_log_lo,w2_log_hi,w2_log_n_boot_ok,w2_shuffled
pond,pond,surface_area,extracted,m^2,264,352,352.0,0.0014204545454545455,0.9985795454545454,2008.7227337278837,,1768.3539255941685,5496.652301745977,2000,0.3216025870027153,,0.21917427494440475,0.4565614013574285,2000,2008.7227337278837
pond,pond,surface_area,judge_filtered,m^2,264,253,253.0,0.001976284584980237,0.9980237154150198,1826.2029345395722,,1471.434379430044,6297.936978817941,2000,0.20739124318106056,,0.11958280841322502,0.3614476550069768,2000,1826.2029345395722
pond,pond,surface_area,ntp_weighted,m^2,264,352,302.2387711028833,0.00043490965107244366,0.99819534680959,3288.452617206341,,1992.6068535293336,6686.55353228795,2000,0.39625224867622943,,0.278577007763701,0.5323077434584996,2000,1864.3368827642018
pond,pond,surface_area,probe_weighted,m^2,264,352,317.20233767100103,0.001424887647734961,0.9984373435018672,3055.2555158667606,,1967.0077668089793,6232.354138467397,2000,0.3645194912817639,,0.2516754224337328,0.505567557860531,2000,2071.6686786090086
pond,pond,max_depth,extracted,m,161,228,228.0,0.0021929824561403508,0.9978070175438597,0.6757674116416645,,0.2337231263903261,3.5679237824108276,2000,0.07996275025029735,,0.06227080088973239,0.17023330210883866,2000,0.6757674116416645
pond,pond,max_depth,judge_filtered,m,161,98,98.0,0.00510204081632653,0.9948979591836735,1.1035362677004554,,0.5508802748222945,1.7542513392043417,2000,0.21644597959606438,,0.12565336104170968,0.3084464765794831,2000,1.1035362677004554
pond,pond,max_depth,ntp_weighted,m,161,228,171.31525233687128,0.0008253248500193018,0.9991139422185723,0.8452766998729156,,0.2742777523874001,3.757417445885023,2000,0.11373923746554553,,0.05297638965168965,0.2174179338671033,2000,0.38097911985661087
pond,pond,max_depth,probe_weighted,m,161,228,181.32185901127204,0.001806481963906867,0.997209191908049,0.8134586572835958,,0.25163367934943964,4.311876292907023,2000,0.09410483427510159,,0.05489414249776419,0.19851936483311827,2000,0.8381744232760102
pond,pond,vegetation_cover,extracted,percent,37,209,209.0,0.0023923444976076554,0.9976076555023924,19.036559160949757,,8.546625265164964,31.949144860888925,2000,,n/a,,,0,19.036559160949757
pond,pond,vegetation_cover,judge_filtered,percent,37,47,47.0,0.010638297872340425,0.9893617021276596,13.011284124449674,,5.544783138689475,29.824077810603022,2000,,n/a,,,0,13.011284124449674
