dataset,ecosystem,attribute,setting,unit,n_gt,n_ext,n_eff,ext_qlo,ext_qhi,w2,w2_skip,w2_lo,w2_hi,w2_n_boot_ok,w2_log,w2_log_skip,w2_log_lo,w2_log_hi,w2_log_n_boot_ok,w2_shuffled
pond,pond,surface_area,extracted,m^2,264,352,352.0,0.0014204545454545455,0.9985795454545454,2008.7227337278837,,1768.3539255941685,5496.652301745977,2000,0.3216025870027153,,0.21917427494440475,0.4565614013574285,2000,2008.7227337278837
pond,pond,surface_area,judge_filtered,m^2,264,285,285.0,0.0017543859649122807,0.9982456140350877,1587.304516173856,,1570.7488296283802,5938.966836206836,2000,0.297511832558907,,0.19132448670409422,0.43542555858118404,2000,1587.304516173856
pond,pond,surface_area,ntp_weighted,m^2,264,352,317.26478030798296,0.0006217431442538957,0.9982427803514077,1772.534994813596,,1710.5992654441816,5837.641174866429,2000,0.320309281899795,,0.21687085527020766,0.4524123193506574,2000,1898.2406512141656
pond,pond,surface_area,probe_weighted,m^2,264,352,323.67542251026407,0.00023302432327504537,0.9982156787385408,1852.401005696336,,1698.8283152663264,5927.708079926219,2000,0.3015346270444114,,0.20163480841391143,0.43906199055653783,2000,2002.7862435153208
pond,pond,max_depth,extracted,m,161,228,228.0,0.0021929824561403508,0.9978070175438597,0.6757674116416645,,0.2337231263903261,3.5679237824108276,2000,0.07996275025029735,,0.06227080088973239,0.17023330210883866,2000,0.6757674116416645
pond,pond,max_depth,judge_filtered,m,161,120,120.0,0.004166666666666667,0.9958333333333333,0.887607390056989,,0.42731120829625907,2.7590468499921217,2000,0.18176347610987673,,0.09697744759928106,0.27814557579199833,2000,0.887607390056989
pond,pond,max_depth,ntp_weighted,m,161,228,182.11673651689046,0.0013576984491845668,0.9961627979961571,2.1167788412232755,,0.40706076930917007,5.835676762679899,2000,0.14265870928905267,,0.075396836105266,0.2498399843633131,2000,1.3146965897912777
pond,pond,max_depth,probe_weighted,m,161,228,164.3352058149525,0.0006229929566574614,0.996240939011268,0.9677784707301667,,0.41744949975138773,3.9898770415651206,2000,0.14982669462966003,,0.0810881480517057,0.2452045671679012,2000,1.6376697997189364
pond,pond,vegetation_cover,extracted,percent,37,209,209.0,0.0023923444976076554,0.9976076555023924,19.036559160949757,,8.546625265164964,31.949144860888925,2000,,n/a,,,0,19.036559160949757
pond,pond,vegetation_cover,judge_filtered,percent,37,51,51.0,0.00980392156862745,0.9901960784313726,25.871862264297953,,11.69592317337788,41.746563903054515,2000,,n/a,,,0,25.871862264297953
pond,pond,vegetation_cover,ntp_weighted,percent,37,209,175.37332383195528,0.001987867083227973,0.9980109987161393,19.129978072673694,,9.05980081676574,31.262652479180105,2000,,n/a,,,0,18.19713593829794
pond,pond,vegetation_cover,probe_weighted,percent,37,209,143.54045750946088,0.003257547858887701,0.9984135954034477,22.74508848592621,,10.766179334954067,36.716516564294686,2000,,n/a,,,0,20.000729456736355
pond,pond,ph,extracted,,115,303,303.0,0.0016501650165016502,0.9983498349834984,1.2650055560986255,,0.8482232108420789,1.6863085334424963,2000,,n/a,,,0,1.2650055560986255
pond,pond,ph,judge_filtered,,115,190,190.0,0.002631578947368421,0.9973684210526316,0.21335124647695214,,0.17501916267290454,0.5129758885379526,2000,,n/a,,,0,0.21335124647695214
pond,pond,ph,ntp_weighted,,115,303,249.1462297120083,0.0008816224405498851,0.9975084438123801,0.8766687994309854,,0.530072256717618,1.2545215106412821,2000,,n/a,,,0,1.301228640823111
pond,pond,ph,probe_weighted,,115,303,274.62357074156523,0.00030872972796511217,0.9981787437005643,1.102804319997834,,0.6955830268347858,1.513059507001854,2000,,n/a,,,0,1.3406683642988728
pond,pond,tn,extracted,µg/L,50,78,78.0,0.00641025641025641,0.9935897435897436,1351.8814796068568,,312.6561497177597,7499.468254632555,2000,0.3659255040913212,,0.24459494696863396,0.6070564868568855,2000,1351.8814796068568
pond,pond,tn,judge_filtered,µg/L,50,22,22.0,0.022727272727272728,0.9772727272727273,543.9315297017106,,190.46220978039608,1484.106668532164,2000,0.12516561140358357,,0.06979440243354171,0.2772689002747012,2000,543.9315297017106
pond,pond,tn,ntp_weighted,µg/L,50,78,62.11901850270979,0.004975736878396107,0.9947809252581606,1004.3559172759581,,323.7863967931225,6324.8789811935,2000,0.31085484110475464,,0.21110025831633827,0.5061797610962308,2000,5926.877557433551
pond,pond,tn,probe_weighted,µg/L,50,78,53.6880723385416,0.0006396168933677891,0.9882289647391629,5517.877898917773,,495.59359958334807,12153.18589849382,2000,0.3956567609752732,,0.2612758529543143,0.5856152008218514,2000,3939.2538146467414
pond,pond,tp,extracted,µg/L,42,137,137.0,0.0036496350364963502,0.9963503649635036,112.01419260400499,,54.23579764344301,316.3994346857246,2000,0.3089998519512248,,0.2072660761028065,0.5536657184190176,2000,112.01419260400499
pond,pond,tp,judge_filtered,µg/L,42,75,75.0,0.006666666666666667,0.9933333333333333,65.00637200535091,,38.4716989721094,255.30233599016293,2000,0.2308501329553618,,0.1498512746038465,0.4882041097123717,2000,65.00637200535091
pond,pond,tp,ntp_weighted,µg/L,42,137,108.49578556557304,0.0023523012995565495,0.9976533152539607,90.12932915292686,,44.14197549117995,268.69772281757173,2000,0.2895408921636017,,0.18207034329615354,0.5371265772099142,2000,66.18394084469173
pond,pond,tp,probe_weighted,µg/L,42,137,108.7496224983976,0.004935727963782271,0.9996926624737226,49.98319343421194,,30.370623508430818,252.68656148951,2000,0.3216061978886704,,0.21924506676440403,0.5177870414974307,2000,102.13351222421971
pond,pond,chla,extracted,µg/L,41,84,84.0,0.005952380952380952,0.9940476190476191,321.31901221764065,,159.74414042429814,526.7539588737452,2000,1.3216940670187571,,1.0600593689976223,1.577855132511497,2000,321.31901221764065
pond,pond,chla,judge_filtered,µg/L,41,42,42.0,0.011904761904761904,0.9880952380952381,45.029948999297375,,17.792640158687398,65.12392137120536,2000,0.8334564799389379,,0.553322369047982,1.1111031195681926,2000,45.029948999297375
pond,pond,chla,ntp_weighted,µg/L,41,84,68.9228572037396,0.0032775580028355593,0.9967192858382221,173.80419573936862,,97.07483296939772,340.15572025726595,2000,1.1330661090888305,,0.9005273230505424,1.3834169947652566,2000,386.97288107008876
pond,pond,chla,probe_weighted,µg/L,41,84,75.63943641611827,0.005747446194048116,0.9940889663684842,267.1706889980662,,138.96398668065936,472.8438602115643,2000,1.243827024975105,,0.9887011784198381,1.5016221832683077,2000,348.0499941142546
pond,lake,surface_area,extracted,m^2,197,396,396.0,0.0012626262626262627,0.9987373737373737,163147.79827289013,,132437.95209943337,198380.93297271943,2000,0.42987704088673956,,0.32067761382209875,0.576011303102955,2000,163147.79827289013
pond,lake,surface_area,judge_filtered,m^2,197,337,337.0,0.001483679525222552,0.9985163204747775,163805.65428480736,,129922.6954410539,200888.7251107294,2000,0.43836094733419373,,0.3224258136202677,0.5804698042218546,2000,163805.65428480736
pond,lake,surface_area,ntp_weighted,m^2,197,396,353.1214583619048,0.0005515033816877866,0.9990558058290541,158277.12523517263,,125748.93673851089,193327.9786016116,2000,0.3953704769909478,,0.28876796948722233,0.5436490578031087,2000,164127.30844464438
pond,lake,surface_area,probe_weighted,m^2,197,396,379.42265404852685,0.0003565305847712397,0.9986106833983602,163146.947093775,,131582.13742799292,199450.84033692902,2000,0.4449988268087378,,0.33127175181492585,0.593971536921363,2000,162417.8036915049
pond,lake,max_depth,extracted,m,99,335,335.0,0.0014925373134328358,0.9985074626865672,5.333917637438271,,3.806463069004009,6.957023635173829,2000,0.2141317897795284,,0.17308705318249623,0.30386363940233213,2000,5.333917637438271
pond,lake,max_depth,judge_filtered,m,99,189,189.0,0.0026455026455026454,0.9973544973544973,5.631703945927014,,3.7877790735529038,7.885404931794001,2000,0.2500737249348152,,0.1841445456693523,0.3679053841918225,2000,5.631703945927014
pond,lake,max_depth,ntp_weighted,m,99,335,275.4898397233126,0.0011792602803172999,0.9975452516202846,5.54708902118623,,3.841343317703458,7.388328492276912,2000,0.22955309775579072,,0.17468491179502849,0.334584168893689,2000,5.187202892709649
pond,lake,max_depth,probe_weighted,m,99,335,320.3314974989233,0.0015329970576330265,0.9982675874409965,5.582940270593308,,4.042556520249184,7.283678954376126,2000,0.2295510638827944,,0.18319491665225096,0.32275893260242333,2000,5.487497133735168
pond,lake,vegetation_cover,extracted,percent,33,53,53.0,0.009433962264150943,0.9905660377358491,5.225807769344034,,5.1551772418642,21.813776066636507,2000,,n/a,,,0,5.225807769344034
pond,lake,vegetation_cover,judge_filtered,percent,33,47,47.0,0.010638297872340425,0.9893617021276596,3.007040491413405,,4.842612403292922,22.499553473853112,2000,,n/a,,,0,3.007040491413405
pond,lake,vegetation_cover,ntp_weighted,percent,33,53,44.1953434683004,0.014037087604416984,0.9936043871064538,2.848136389867028,,4.750088568561078,22.91046634949255,2000,,n/a,,,0,4.617604559031434
pond,lake,vegetation_cover,probe_weighted,percent,33,53,51.09909126225986,0.008676515664144308,0.9907716426214855,5.882783233797257,,5.360871327286138,21.760684369982076,2000,,n/a,,,0,5.208376862147146
pond,lake,ph,extracted,,73,184,184.0,0.002717391304347826,0.9972826086956522,0.41718808244707395,,0.23497304018149964,0.8308388130608318,2000,,n/a,,,0,0.41718808244707395
pond,lake,ph,judge_filtered,,73,148,148.0,0.0033783783783783786,0.9966216216216216,0.4064439801824648,,0.22577205854673948,0.8639928207913604,2000,,n/a,,,0,0.4064439801824648
pond,lake,ph,ntp_weighted,,73,184,154.1978314368496,0.0013767696357067244,0.998623068803866,0.4003144847532934,,0.20197826767094385,0.849689099468651,2000,,n/a,,,0,0.40401215671994456
pond,lake,ph,probe_weighted,,73,184,172.0393527334627,0.0009493717280462043,0.9971969756490524,0.3323195505729915,,0.20329495612678578,0.7545318834342357,2000,,n/a,,,0,0.4230607512105472
pond,lake,tn,extracted,µg/L,61,67,67.0,0.007462686567164179,0.9925373134328358,746.1479560548238,,162.6989299697413,3971.7383437579233,2000,0.2736101948677269,,0.1549851412162107,0.4412995030420567,2000,746.1479560548238
pond,lake,tn,judge_filtered,µg/L,61,38,38.0,0.013157894736842105,0.9868421052631579,282.1747771103132,,129.9348710039304,698.4784359722458,2000,0.09970227668095481,,0.05133687338243515,0.2227006100298749,2000,282.1747771103132
pond,lake,tn,ntp_weighted,µg/L,61,67,54.02672277691805,0.004357905683599743,0.9956421098471909,163.2929154867225,,124.2578087839836,2131.7005554014822,2000,0.15711673932443432,,0.08683710722754276,0.29999719026468724,2000,346.9299199620714
pond,lake,tn,probe_weighted,µg/L,61,67,48.32439277886574,0.008201947210561009,0.9886677948640686,1515.4147483053027,,216.79315094178304,5312.758138806427,2000,0.26218980863826846,,0.15441655326424145,0.4419804539467847,2000,932.4113002711401
pond,lake,tp,extracted,µg/L,101,119,119.0,0.004201680672268907,0.9957983193277311,21.196148279066076,,13.822524653911682,56.447262398473164,2000,0.32253488472094394,,0.20273351221258057,0.4734386057134825,2000,21.196148279066076
pond,lake,tp,judge_filtered,µg/L,101,82,82.0,0.006097560975609756,0.9939024390243902,13.569126041427351,,10.376851377301385,42.8973042810753,2000,0.14905513405314935,,0.08086601523847352,0.2852222338377658,2000,13.569126041427351
pond,lake,tp,ntp_weighted,µg/L,101,119,99.72872701382886,0.0022716315214132265,0.9936422233410886,20.227627784178097,,11.433690399470088,143.58126286292932,2000,0.2630983066100693,,0.15449776870312432,0.4121221220326803,2000,21.50769398371674
pond,lake,tp,probe_weighted,µg/L,101,119,107.02544438049406,0.0010563647761645109,0.995651064271061,20.927794336708093,,13.74216356637808,57.41112968737325,2000,0.35917551113069285,,0.21634909555288023,0.530481838037489,2000,22.147084120362695
pond,lake,chla,extracted,µg/L,123,155,155.0,0.0032258064516129032,0.9967741935483871,124.2400737205874,,41.87296109589097,297.7331945654357,2000,0.30235830210192227,,0.21507733756532071,0.44966745831598803,2000,124.2400737205874
pond,lake,chla,judge_filtered,µg/L,123,125,125.0,0.004,0.996,29.606326513031558,,12.852242073097258,100.86270767326124,2000,0.1976824956148943,,0.13113715527956438,0.3509779371632003,2000,29.606326513031558
pond,lake,chla,ntp_weighted,µg/L,123,155,134.71393310539742,0.0029076907383284605,0.9984801461663727,59.71212838651754,,21.65865183465043,136.5482286353134,2000,0.22836389914578004,,0.15772330956809913,0.3631892990076667,2000,152.36708997633892
pond,lake,chla,probe_weighted,µg/L,123,155,140.06629436532535,0.0024923455968691153,0.997997408164066,87.26948403872115,,24.654651350662988,260.0575011829823,2000,0.2527752319324747,,0.17779281960988585,0.40260559963988735,2000,148.0108263690349
pond,wetland,surface_area,extracted,m^2,9,18,18.0,,,,gt_undersupported,,,0,,gt_undersupported,,,0,
pond,wetland,surface_area,judge_filtered,m^2,9,11,11.0,,,,gt_undersupported,,,0,,gt_undersupported,,,0,
pond,wetland,surface_area,ntp_weighted,m^2,9,18,14.968456633599295,,,,gt_undersupported,,,0,,gt_undersupported,,,0,
pond,wetland,surface_area,probe_weighted,m^2,9,18,17.140849014346085,,,,gt_undersupported,,,0,,gt_undersupported,,,0,
pond,wetland,max_depth,extracted,m,1,8,8.0,,,,gt_undersupported,,,0,,gt_undersupported,,,0,
pond,wetland,max_depth,judge_filtered,m,1,5,5.0,,,,gt_undersupported,,,0,,gt_undersupported,,,0,
pond,wetland,max_depth,ntp_weighted,m,1,8,6.52155569614764,,,,gt_undersupported,,,0,,gt_undersupported,,,0,
pond,wetland,max_depth,probe_weighted,m,1,8,7.198948822838115,,,,gt_undersupported,,,0,,gt_undersupported,,,0,
pond,wetland,vegetation_cover,extracted,percent,1,46,46.0,,,,gt_undersupported,,,0,,n/a,,,0,
pond,wetland,vegetation_cover,judge_filtered,percent,1,33,33.0,,,,gt_undersupported,,,0,,n/a,,,0,
pond,wetland,vegetation_cover,ntp_weighted,percent,1,46,45.9999204683099,,,,gt_undersupported,,,0,,n/a,,,0,
pond,wetland,vegetation_cover,probe_weighted,percent,1,46,41.72875344027569,,,,gt_undersupported,,,0,,n/a,,,0,
